,GABAaR-Ant,rank_Medio
0,2.3006727824557296,402.0
1,1.94619432401038,510.666666666667
2,2.0089983894442023,458.0
3,1.9549642133003933,507.333333333333
4,1.910301067977032,490.333333333333
5,2.128713700784356,489.666666666667
6,1.9394792425370757,433.333333333333
7,1.9036962480600577,423.0
8,2.2673704241470443,504.0
9,1.940521875518629,416.0
10,2.1264064632953854,158.333333333333
11,1.9390409306668133,259.666666666667
12,2.1205480796508027,86.0
13,2.2602460495884404,132.0
14,2.1099406147246897,169.0
15,2.1466791406762487,170.0
16,2.1484179795418714,211.0
17,2.052729384041318,228.666666666667
18,2.42639932722343,219.333333333333
19,2.3220505955707407,109.666666666667
20,2.1162634492152943,148.333333333333
21,2.0653087446165377,102.0
22,2.2572391532521774,442.0
23,1.0950583782411438,563.666666666667
24,2.1199165969563745,155.666666666667
25,1.9132035991996013,548.333333333333
26,2.3159719129938847,543.0
27,1.8400034133549763,323.0
28,1.977908707786923,318.666666666667
29,1.6120157851010026,442.0
30,1.9907936032764664,217.666666666667
31,1.984909643894072,424.0
32,1.9479137405318137,419.666666666667
33,2.2842118328191274,263.0
34,2.36570786448976,114.666666666667
35,2.583728970183216,280.0
36,2.1118644566924445,432.333333333333
37,0.936118562951363,528.333333333333
38,1.9686343336124856,399.0
39,2.0692319662286285,126.0
40,1.576024742327462,496.0
41,1.6456687088357134,144.666666666667
42,1.34670300474808,561.0
43,1.6883037417090965,446.666666666667
44,1.8034004310607672,421.0
45,1.9040342070471683,228.666666666667
46,1.3471741098715746,417.333333333333
47,2.069764457262695,257.0
48,2.133419847874608,434.0
49,2.4867519756527705,175.0
50,2.046573180004809,509.666666666667
51,2.453531918450181,174.333333333333
52,2.169057475774755,99.0
53,2.4482613595890133,297.333333333333
54,1.960469806241126,236.333333333333
