,MET,rank_Medio
0,4.47625215109314,402.0
1,4.264446502391175,510.666666666667
2,4.70096015270227,458.0
3,4.337127965570227,507.333333333333
4,4.389612374499921,490.333333333333
5,4.394682872877026,489.666666666667
6,4.833665897982177,433.333333333333
7,4.781149645036424,423.0
8,3.761933437259171,504.0
9,4.801193010270593,416.0
10,4.496662052661785,158.333333333333
11,3.7919982004186488,259.666666666667
12,4.3353081365081945,86.0
13,4.543098038548777,132.0
14,4.551340432760158,169.0
15,4.440460373189747,170.0
16,4.309205768225899,211.0
17,4.4190721805553626,228.666666666667
18,4.3464212598359815,219.333333333333
19,4.534431118051263,109.666666666667
20,4.454882920485751,148.333333333333
21,4.293293323849397,102.0
22,4.519986431217052,442.0
23,2.9594761092701845,563.666666666667
24,4.353040781532333,155.666666666667
25,1.979792018886432,548.333333333333
26,3.3128257053233656,543.0
27,4.364346123903684,323.0
28,2.672069451130467,318.666666666667
29,3.3420505718423392,442.0
30,4.278215271116638,217.666666666667
31,4.767571190640241,424.0
32,4.529065390203495,419.666666666667
33,4.410203000262914,263.0
34,4.3285405768537,114.666666666667
35,4.13425969223815,280.0
36,4.141314786867981,432.333333333333
37,3.632399012780115,528.333333333333
38,4.540036379767824,399.0
39,4.041581607239572,126.0
40,4.384383001048853,496.0
41,4.041788125748206,144.666666666667
42,3.620921248355101,561.0
43,5.043167625710867,446.666666666667
44,4.527599973126674,421.0
45,4.627297761860623,228.666666666667
46,4.048933871558728,417.333333333333
47,4.8021419137675805,257.0
48,4.332405118273729,434.0
49,3.59431307710649,175.0
50,4.671955964188168,509.666666666667
51,4.032690292684623,174.333333333333
52,4.436185192676712,99.0
53,4.263864228975517,297.333333333333
54,4.410650375919089,236.333333333333
