,OctpR-Ago,rank_Medio
0,4.37423511954787,402.0
1,4.08294827071625,510.666666666667
2,4.541092834567595,458.0
3,4.137836160225377,507.333333333333
4,4.196968936663894,490.333333333333
5,4.059039672506259,489.666666666667
6,4.655234348364221,433.333333333333
7,4.5926212354972975,423.0
8,3.4389540301940493,504.0
9,4.630205791688455,416.0
10,4.457982321995937,158.333333333333
11,3.7172583042247416,259.666666666667
12,4.309677519295261,86.0
13,4.434388436373516,132.0
14,4.449125452028677,169.0
15,4.402054138306906,170.0
16,4.2818339223265,211.0
17,4.388050220317685,228.666666666667
18,4.233343210117153,219.333333333333
19,4.4294739082328025,109.666666666667
20,4.421192658357684,148.333333333333
21,4.266367087596799,102.0
22,4.166874287003423,442.0
23,2.622426354803695,563.666666666667
24,4.315326690804218,155.666666666667
25,1.696026233003197,548.333333333333
26,2.938907135504714,543.0
27,4.346106544459615,323.0
28,2.393329721819803,318.666666666667
29,2.90691284486162,442.0
30,4.263284113751123,217.666666666667
31,4.387384832714653,424.0
32,4.327979419760468,419.666666666667
33,4.312497214602751,263.0
34,4.210948557689987,114.666666666667
35,3.920047075867007,280.0
36,3.896003794198793,432.333333333333
37,3.407186915903763,528.333333333333
38,4.356722293846771,399.0
39,3.841572399068164,126.0
40,3.8940627304758166,496.0
41,3.890149720375312,144.666666666667
42,3.242688161165907,561.0
43,4.849327899238796,446.666666666667
44,4.130772159821532,421.0
45,4.366354177428937,228.666666666667
46,3.612133057166889,417.333333333333
47,4.660287701940678,257.0
48,3.942659488013856,434.0
49,3.2848020909499898,175.0
50,4.32118373960158,509.666666666667
51,3.821303960028175,174.333333333333
52,4.397303388575072,99.0
53,4.15306818114732,297.333333333333
54,4.379541590267122,236.333333333333
