Ligand,ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy15,53,"-60,2",0,1,52,1,"0,068","0,063",,"0,019","0,9210","0,068",,
4iodo-4tetrahydroacridindecoy30,54,"-60,2",0,1,53,1,"0,069","0,063",,"0,019","0,9039","0,069",,
Bis-tacrinedecoy49,55,"-60,1",0,1,54,1,"0,070","0,063",,"0,018","0,8875","0,070",,
4iodo-3tetrahydroacridindecoy34,56,"-60,0",0,1,55,1,"0,072","0,063",,"0,018","0,8716","0,072",,
4iodo-4tetrahydroacridindecoy17,57,"-59,9",0,1,56,1,"0,073","0,063",,"0,018","0,8563","0,073",,
2iodo-4tetrahydroacridindecoy18,58,"-59,7",0,1,57,1,"0,074","0,063",,"0,017","0,8416","0,074",,
3iodo-2tetrahydroacridindecoy48,59,"-59,6",0,1,58,1,"0,076","0,063",,"0,017","0,8273","0,076",,
3iodo-4tetrahydroacridin,60,"-59,5",1,0,58,2,"0,077","0,125",,"0,033","1,6270","0,077",,
2iodo-2tetrahydroacridindecoy39,61,"-59,4",0,1,59,2,"0,078","0,125",,"0,033","1,6004","0,078",,
4iodo-2tetrahydroacridindecoy33,62,"-59,4",0,1,60,2,"0,079","0,125",,"0,032","1,5746","0,079",,
Bis-tacrinedecoy13,63,"-59,3",0,1,61,2,"0,081","0,125",,"0,032","1,5496","0,081",,
2iodo-2tetrahydroacridindecoy34,64,"-59,0",0,1,62,2,"0,082","0,125",,"0,031","1,5254","0,082",,
Bis-tacrinedecoy37,65,"-59,0",0,1,63,2,"0,083","0,125",,"0,031","1,5019","0,083",,
2iodo-3tetrahydroacridindecoy45,66,"-59,0",0,1,64,2,"0,085","0,125",,"0,030","1,4791","0,085",,
Bis-tacrinedecoy33,67,"-58,8",0,1,65,2,"0,086","0,125",,"0,030","1,4571","0,086",,
2iodo-4tetrahydroacridindecoy14,68,"-58,7",0,1,66,2,"0,087","0,125",,"0,029","1,4356","0,087",,
2iodo-4tetrahydroacridindecoy16,69,"-58,6",0,1,67,2,"0,088","0,125",,"0,029","1,4148","0,088",,
Bis-tacrinedecoy5,70,"-58,4",0,1,68,2,"0,090","0,125",,"0,029","1,3946","0,090",,
4iodo-4tetrahydroacridin,71,"-58,2",1,0,68,3,"0,091","0,188",,"0,042","2,0625","0,091",,
4iodo-3tetrahydroacridindecoy37,72,"-58,1",0,1,69,3,"0,092","0,188",,"0,042","2,0338","0,092",,
2iodo-4tetrahydroacridindecoy19,73,"-58,0",0,1,70,3,"0,093","0,188",,"0,041","2,0059","0,093",,
4iodo-4tetrahydroacridindecoy32,74,"-57,9",0,1,71,3,"0,095","0,188",,"0,041","1,9788","0,095",,
Heptyl-physostigminedecoy17,75,"-57,9",0,1,72,3,"0,096","0,188",,"0,040","1,9525","0,096",,
4iodo-4tetrahydroacridindecoy44,76,"-57,8",0,1,73,3,"0,097","0,188",,"0,039","1,9268","0,097",,
2iodo-4tetrahydroacridindecoy1,77,"-57,8",0,1,74,3,"0,099","0,188",,"0,039","1,9017","0,099",,
Bis-tacrinedecoy34,78,"-57,8",0,1,75,3,"0,100","0,188",,"0,038","1,8774","0,100",,
Bis-tacrinedecoy14,79,"-57,8",0,1,76,3,"0,101","0,188",,"0,038","1,8536","0,101",,
Heptyl-physostigminedecoy15,80,"-57,7",0,1,77,3,"0,102","0,188",,"0,038","1,8304","0,102",,
2iodo-4tetrahydroacridin,81,"-57,7",1,0,77,4,"0,104","0,250",,"0,049","2,4104","0,104",,
4iodo-3tetrahydroacridindecoy41,82,"-57,6",0,1,78,4,"0,105","0,250",,"0,049","2,3810","0,105",,
2iodo-4tetrahydroacridindecoy40,83,"-57,6",0,1,79,4,"0,106","0,250",,"0,048","2,3524","0,106",,
3iodo-2tetrahydroacridindecoy26,84,"-57,5",0,1,80,4,"0,108","0,250",,"0,048","2,3244","0,108",,
Bis-tacrinedecoy4,85,"-57,5",0,1,81,4,"0,109","0,250",,"0,047","2,2970","0,109",,
Donepezildecoy29,86,"-57,5",0,1,82,4,"0,110","0,250",,"0,047","2,2703","0,110",,
4iodo-4tetrahydroacridindecoy4,87,"-57,4",0,1,83,4,"0,111","0,250",,"0,046","2,2442","0,111",,
2iodo-4tetrahydroacridindecoy33,88,"-57,4",0,1,84,4,"0,113","0,250",,"0,045","2,2187","0,113",,
4iodo-3tetrahydroacridindecoy45,89,"-57,4",0,1,85,4,"0,114","0,250",,"0,045","2,1938","0,114",,
4iodo-3tetrahydroacridindecoy49,90,"-57,3",0,1,86,4,"0,115","0,250",,"0,044","2,1694","0,115",,
2iodo-3tetrahydroacridindecoy23,91,"-57,2",0,1,87,4,"0,117","0,250",,"0,044","2,1456","0,117",,
Heptyl-physostigminedecoy36,92,"-57,2",0,1,88,4,"0,118","0,250",,"0,043","2,1222","0,118",,
Heptyl-physostigminedecoy16,93,"-57,1",0,1,89,4,"0,119","0,250",,"0,043","2,0994","0,119",,
2iodo-4tetrahydroacridindecoy15,94,"-57,1",0,1,90,4,"0,120","0,250",,"0,043","2,0771","0,120",,
3iodo-2tetrahydroacridindecoy41,95,"-57,1",0,1,91,4,"0,122","0,250",,"0,042","2,0552","0,122",,
4iodo-2tetrahydroacridindecoy19,96,"-57,1",0,1,92,4,"0,123","0,250",,"0,042","2,0338","0,123",,
4iodo-3tetrahydroacridindecoy38,97,"-57,1",0,1,93,4,"0,124","0,250",,"0,041","2,0128","0,124",,
2iodo-4tetrahydroacridindecoy30,98,"-57,1",0,1,94,4,"0,125","0,250",,"0,041","1,9923","0,125",,
2iodo-3tetrahydroacridin,99,"-56,9",1,0,94,5,"0,127","0,313",,"0,051","2,4652","0,127",,
2iodo-2tetrahydroacridindecoy37,100,"-56,8",0,1,95,5,"0,128","0,313",,"0,050","2,4406","0,128",,
4iodo-2tetrahydroacridindecoy48,101,"-56,7",0,1,96,5,"0,129","0,313",,"0,050","2,4164","0,129",,
2iodo-3tetrahydroacridindecoy22,102,"-56,7",0,1,97,5,"0,131","0,313",,"0,049","2,3927","0,131",,
Bis-tacrinedecoy2,103,"-56,7",0,1,98,5,"0,132","0,313",,"0,049","2,3695","0,132",,
2iodo-4tetrahydroacridindecoy48,104,"-56,6",0,1,99,5,"0,133","0,313",,"0,048","2,3467","0,133",,
2iodo-3tetrahydroacridindecoy48,105,"-56,6",0,1,100,5,"0,134","0,313",,"0,048","2,3244","0,134",,
Bis-tacrinedecoy42,106,"-56,6",0,1,101,5,"0,136","0,313",,"0,047","2,3024","0,136",,
4iodo-4tetrahydroacridindecoy28,107,"-56,5",0,1,102,5,"0,137","0,313",,"0,047","2,2809","0,137",,
Bis-tacrinedecoy25,108,"-56,5",0,1,103,5,"0,138","0,313",,"0,046","2,2598","0,138",,
3iodo-2tetrahydroacridindecoy39,109,"-56,4",0,1,104,5,"0,140","0,313",,"0,046","2,2391","0,140",,
4iodo-3tetrahydroacridindecoy31,110,"-56,4",0,1,105,5,"0,141","0,313",,"0,045","2,2187","0,141",,
4iodo-4tetrahydroacridindecoy11,111,"-56,4",0,1,106,5,"0,142","0,313",,"0,045","2,1987","0,142",,
4iodo-3tetrahydroacridindecoy19,112,"-56,3",0,1,107,5,"0,143","0,313",,"0,045","2,1791","0,143",,
2iodo-3tetrahydroacridindecoy14,113,"-56,3",0,1,108,5,"0,145","0,313",,"0,044","2,1598","0,145",,
3iodo-2tetrahydroacridindecoy8,114,"-56,2",0,1,109,5,"0,146","0,313",,"0,044","2,1409","0,146",,
3iodo-2tetrahydroacridindecoy49,115,"-56,2",0,1,110,5,"0,147","0,313",,"0,043","2,1222","0,147",,
2iodo-4tetrahydroacridindecoy13,116,"-56,0",0,1,111,5,"0,149","0,313",,"0,043","2,1039","0,149",,
3iodo-2tetrahydroacridindecoy46,117,"-55,8",0,1,112,5,"0,150","0,313",,"0,043","2,0860","0,150",,
2iodo-2tetrahydroacridindecoy29,118,"-55,8",0,1,113,5,"0,151","0,313",,"0,042","2,0683","0,151",,
4iodo-3tetrahydroacridin,119,"-55,8",1,0,113,6,"0,152","0,375",,"0,050","2,4611","0,152",,
4iodo-4tetrahydroacridindecoy46,120,"-55,7",0,1,114,6,"0,154","0,375",,"0,050","2,4406","0,154",,
3iodo-2tetrahydroacridindecoy40,121,"-55,7",0,1,115,6,"0,155","0,375",,"0,050","2,4204","0,155",,
Bis-tacrinedecoy29,122,"-55,6",0,1,116,6,"0,156","0,375",,"0,049","2,4006","0,156",,
4iodo-2tetrahydroacridindecoy37,123,"-55,5",0,1,117,6,"0,157","0,375",,"0,049","2,3810","0,157",,
4iodo-4tetrahydroacridindecoy27,124,"-55,4",0,1,118,6,"0,159","0,375",,"0,048","2,3618","0,159",,
Heptyl-physostigminedecoy35,125,"-55,4",0,1,119,6,"0,160","0,375",,"0,048","2,3429","0,160",,
3iodo-2tetrahydroacridin,126,"-55,3",1,0,119,7,"0,161","0,438",,"0,056","2,7117","0,161",,
4iodo-2tetrahydroacridindecoy9,127,"-55,3",0,1,120,7,"0,163","0,438",,"0,055","2,6904","0,163",,
4iodo-3tetrahydroacridindecoy10,128,"-55,2",0,1,121,7,"0,164","0,438",,"0,055","2,6694","0,164",,
4iodo-2tetrahydroacridindecoy25,129,"-55,2",0,1,122,7,"0,165","0,438",,"0,054","2,6487","0,165",,
4iodo-3tetrahydroacridindecoy39,130,"-55,2",0,1,123,7,"0,166","0,438",,"0,054","2,6283","0,166",,
4iodo-4tetrahydroacridindecoy10,131,"-55,2",0,1,124,7,"0,168","0,438",,"0,053","2,6082","0,168",,
2iodo-3tetrahydroacridindecoy33,132,"-55,2",0,1,125,7,"0,169","0,438",,"0,053","2,5885","0,169",,
4iodo-4tetrahydroacridindecoy23,133,"-55,2",0,1,126,7,"0,170","0,438",,"0,053","2,5690","0,170",,
Donepezildecoy14,134,"-55,2",0,1,127,7,"0,172","0,438",,"0,052","2,5499","0,172",,
Heptyl-physostigminedecoy3,135,"-55,1",0,1,128,7,"0,173","0,438",,"0,052","2,5310","0,173",,
Bis-tacrinedecoy18,136,"-55,1",0,1,129,7,"0,174","0,438",,"0,051","2,5124","0,174",,
Bis-tacrinedecoy24,137,"-55,1",0,1,130,7,"0,175","0,438",,"0,051","2,4940","0,175",,
Heptyl-physostigminedecoy2,138,"-55,0",0,1,131,7,"0,177","0,438",,"0,051","2,4759","0,177",,
4iodo-2tetrahydroacridindecoy38,139,"-54,9",0,1,132,7,"0,178","0,438",,"0,050","2,4581","0,178",,
2iodo-3tetrahydroacridindecoy38,140,"-54,9",0,1,133,7,"0,179","0,438",,"0,050","2,4406","0,179",,
4iodo-4tetrahydroacridindecoy9,141,"-54,9",0,1,134,7,"0,181","0,438",,"0,050","2,4233","0,181",,
Donepezildecoy43,142,"-54,9",0,1,135,7,"0,182","0,438",,"0,049","2,4062","0,182",,
2iodo-3tetrahydroacridindecoy13,143,"-54,9",0,1,136,7,"0,183","0,438",,"0,049","2,3894","0,183",,
2iodo-2tetrahydroacridin,144,"-54,8",1,0,136,8,"0,184","0,500",,"0,056","2,7117","0,184",,
Bis-tacrinedecoy8,145,"-54,8",0,1,137,8,"0,186","0,500",,"0,055","2,6930","0,186",,
4iodo-2tetrahydroacridindecoy35,146,"-54,8",0,1,138,8,"0,187","0,500",,"0,055","2,6746","0,187",,
Donepezildecoy6,147,"-54,8",0,1,139,8,"0,188","0,500",,"0,054","2,6564","0,188",,
4iodo-4tetrahydroacridindecoy38,148,"-54,7",0,1,140,8,"0,190","0,500",,"0,054","2,6385","0,190",,
2iodo-3tetrahydroacridindecoy9,149,"-54,7",0,1,141,8,"0,191","0,500",,"0,054","2,6207","0,191",,
Donepezildecoy10,150,"-54,7",0,1,142,8,"0,192","0,500",,"0,053","2,6033","0,192",,
Donepezildecoy38,151,"-54,7",0,1,143,8,"0,193","0,500",,"0,053","2,5860","0,193",,
4iodo-2tetrahydroacridindecoy31,152,"-54,6",0,1,144,8,"0,195","0,500",,"0,053","2,5690","0,195",,
3iodo-2tetrahydroacridindecoy38,153,"-54,6",0,1,145,8,"0,196","0,500",,"0,052","2,5522","0,196",,
2iodo-2tetrahydroacridindecoy25,154,"-54,6",0,1,146,8,"0,197","0,500",,"0,052","2,5357","0,197",,
4iodo-3tetrahydroacridindecoy44,155,"-54,5",0,1,147,8,"0,198","0,500",,"0,052","2,5193","0,198",,
Bis-tacrinedecoy23,156,"-54,5",0,1,148,8,"0,200","0,500",,"0,051","2,5032","0,200",,
2iodo-4tetrahydroacridindecoy25,157,"-54,5",0,1,149,8,"0,201","0,500",,"0,051","2,4872","0,201",,
4iodo-4tetrahydroacridindecoy1,158,"-54,4",0,1,150,8,"0,202","0,500",,"0,051","2,4715","0,202",,
4iodo-4tetrahydroacridindecoy3,159,"-54,4",0,1,151,8,"0,204","0,500",,"0,050","2,4559","0,204",,
4iodo-2tetrahydroacridin,160,"-54,4",1,0,151,9,"0,205","0,563",,"0,056","2,7456","0,205",,
4iodo-3tetrahydroacridindecoy6,161,"-54,3",0,1,152,9,"0,206","0,563",,"0,056","2,7286","0,206",,
2iodo-2tetrahydroacridindecoy13,162,"-54,3",0,1,153,9,"0,207","0,563",,"0,056","2,7117","0,207",,
4iodo-3tetrahydroacridindecoy47,163,"-54,3",0,1,154,9,"0,209","0,563",,"0,055","2,6951","0,209",,
Donepezildecoy30,164,"-54,2",0,1,155,9,"0,210","0,563",,"0,055","2,6787","0,210",,
4iodo-4tetrahydroacridindecoy39,165,"-54,2",0,1,156,9,"0,211","0,563",,"0,055","2,6624","0,211",,
2iodo-2tetrahydroacridindecoy14,166,"-54,1",0,1,157,9,"0,213","0,563",,"0,054","2,6464","0,213",,
4iodo-3tetrahydroacridindecoy42,167,"-54,1",0,1,158,9,"0,214","0,563",,"0,054","2,6306","0,214",,
2iodo-3tetrahydroacridindecoy17,168,"-54,1",0,1,159,9,"0,215","0,563",,"0,054","2,6149","0,215",,
Donepezildecoy21,169,"-53,9",0,1,160,9,"0,216","0,563",,"0,053","2,5994","0,216",,
3iodo-2tetrahydroacridindecoy45,170,"-53,9",0,1,161,9,"0,218","0,563",,"0,053","2,5841","0,218",,
Bis-tacrinedecoy1,171,"-53,8",0,1,162,9,"0,219","0,563",,"0,053","2,5690","0,219",,
3iodo-4tetrahydroacridindecoy32,172,"-53,8",0,1,163,9,"0,220","0,563",,"0,052","2,5541","0,220",,
Heptyl-physostigminedecoy44,173,"-53,8",0,1,164,9,"0,222","0,563",,"0,052","2,5393","0,222",,
Heptyl-physostigminedecoy33,174,"-53,8",0,1,165,9,"0,223","0,563",,"0,052","2,5247","0,223",,
Donepezildecoy18,175,"-53,8",0,1,166,9,"0,224","0,563",,"0,051","2,5103","0,224",,
2iodo-4tetrahydroacridindecoy46,176,"-53,7",0,1,167,9,"0,225","0,563",,"0,051","2,4960","0,225",,
2iodo-4tetrahydroacridindecoy7,177,"-53,7",0,1,168,9,"0,227","0,563",,"0,051","2,4819","0,227",,
Bis-tacrinedecoy6,178,"-53,7",0,1,169,9,"0,228","0,563",,"0,051","2,4680","0,228",,
Bis-tacrinedecoy40,179,"-53,6",0,1,170,9,"0,229","0,563",,"0,050","2,4542","0,229",,
2iodo-4tetrahydroacridindecoy34,180,"-53,6",0,1,171,9,"0,230","0,563",,"0,050","2,4406","0,230",,
Bis-tacrinedecoy50,181,"-53,5",0,1,172,9,"0,232","0,563",,"0,050","2,4271","0,232",,
2iodo-3tetrahydroacridindecoy27,182,"-53,4",0,1,173,9,"0,233","0,563",,"0,049","2,4138","0,233",,
4iodo-3tetrahydroacridindecoy33,183,"-53,4",0,1,174,9,"0,234","0,563",,"0,049","2,4006","0,234",,
Tolserinedecoy49,184,"-53,4",0,1,175,9,"0,236","0,563",,"0,049","2,3875","0,236",,
4iodo-3tetrahydroacridindecoy16,185,"-53,4",0,1,176,9,"0,237","0,563",,"0,049","2,3746","0,237",,
3iodo-2tetrahydroacridindecoy33,186,"-53,2",0,1,177,9,"0,238","0,563",,"0,048","2,3618","0,238",,
4iodo-3tetrahydroacridindecoy12,187,"-53,2",0,1,178,9,"0,239","0,563",,"0,048","2,3492","0,239",,
2iodo-4tetrahydroacridindecoy9,188,"-53,2",0,1,179,9,"0,241","0,563",,"0,048","2,3367","0,241",,
4iodo-2tetrahydroacridindecoy23,189,"-53,2",0,1,180,9,"0,242","0,563",,"0,048","2,3244","0,242",,
2iodo-4tetrahydroacridindecoy21,190,"-53,1",0,1,181,9,"0,243","0,563",,"0,047","2,3121","0,243",,
2iodo-3tetrahydroacridindecoy12,191,"-53,1",0,1,182,9,"0,245","0,563",,"0,047","2,3000","0,245",,
3iodo-2tetrahydroacridindecoy12,192,"-53,1",0,1,183,9,"0,246","0,563",,"0,047","2,2880","0,246",,
3iodo-2tetrahydroacridindecoy15,193,"-53,1",0,1,184,9,"0,247","0,563",,"0,047","2,2762","0,247",,
2iodo-4tetrahydroacridindecoy8,194,"-53,1",0,1,185,9,"0,248","0,563",,"0,046","2,2644","0,248",,
2iodo-2tetrahydroacridindecoy47,195,"-53,1",0,1,186,9,"0,250","0,563",,"0,046","2,2528","0,250",,
4iodo-3tetrahydroacridindecoy22,196,"-53,0",0,1,187,9,"0,251","0,563",,"0,046","2,2413","0,251",,
4iodo-4tetrahydroacridindecoy31,197,"-53,0",0,1,188,9,"0,252","0,563",,"0,046","2,2300","0,252",,
Tolserinedecoy36,198,"-52,9",0,1,189,9,"0,254","0,563",,"0,045","2,2187","0,254",,
4iodo-4tetrahydroacridindecoy35,199,"-52,9",0,1,190,9,"0,255","0,563",,"0,045","2,2076","0,255",,
Donepezildecoy28,200,"-52,9",0,1,191,9,"0,256","0,563",,"0,045","2,1965","0,256",,
Donepezildecoy49,201,"-52,9",0,1,192,9,"0,257","0,563",,"0,045","2,1856","0,257",,
Donepezildecoy19,202,"-52,9",0,1,193,9,"0,259","0,563",,"0,045","2,1748","0,259",,
3iodo-2tetrahydroacridindecoy16,203,"-52,9",0,1,194,9,"0,260","0,563",,"0,044","2,1641","0,260",,
Heptyl-physostigminedecoy30,204,"-52,9",0,1,195,9,"0,261","0,563",,"0,044","2,1534","0,261",,
4iodo-3tetrahydroacridindecoy25,205,"-52,8",0,1,196,9,"0,262","0,563",,"0,044","2,1429","0,262",,
Heptyl-physostigminedecoy5,206,"-52,8",0,1,197,9,"0,264","0,563",,"0,044","2,1325","0,264",,
Bis-tacrinedecoy39,207,"-52,8",0,1,198,9,"0,265","0,563",,"0,043","2,1222","0,265",,
3iodo-4tetrahydroacridindecoy15,208,"-52,7",0,1,199,9,"0,266","0,563",,"0,043","2,1120","0,266",,
4iodo-3tetrahydroacridindecoy40,209,"-52,7",0,1,200,9,"0,268","0,563",,"0,043","2,1019","0,268",,
4iodo-2tetrahydroacridindecoy10,210,"-52,7",0,1,201,9,"0,269","0,563",,"0,043","2,0919","0,269",,
4iodo-2tetrahydroacridindecoy42,211,"-52,6",0,1,202,9,"0,270","0,563",,"0,043","2,0820","0,270",,
Donepezil,212,"-52,6",1,0,202,10,"0,271","0,625",,"0,047","2,3024","0,271",,
4iodo-3tetrahydroacridindecoy2,213,"-52,6",0,1,203,10,"0,273","0,625",,"0,047","2,2916","0,273",,
3iodo-2tetrahydroacridindecoy21,214,"-52,6",0,1,204,10,"0,274","0,625",,"0,047","2,2809","0,274",,
Donepezildecoy4,215,"-52,6",0,1,205,10,"0,275","0,625",,"0,047","2,2703","0,275",,
3iodo-2tetrahydroacridindecoy37,216,"-52,5",0,1,206,10,"0,277","0,625",,"0,046","2,2598","0,277",,
2iodo-2tetrahydroacridindecoy8,217,"-52,5",0,1,207,10,"0,278","0,625",,"0,046","2,2494","0,278",,
4iodo-3tetrahydroacridindecoy15,218,"-52,5",0,1,208,10,"0,279","0,625",,"0,046","2,2391","0,279",,
Heptyl-physostigminedecoy37,219,"-52,5",0,1,209,10,"0,280","0,625",,"0,046","2,2288","0,280",,
2iodo-4tetrahydroacridindecoy44,220,"-52,4",0,1,210,10,"0,282","0,625",,"0,045","2,2187","0,282",,
4iodo-3tetrahydroacridindecoy43,221,"-52,4",0,1,211,10,"0,283","0,625",,"0,045","2,2087","0,283",,
Heptyl-physostigminedecoy4,222,"-52,4",0,1,212,10,"0,284","0,625",,"0,045","2,1987","0,284",,
Donepezildecoy31,223,"-52,4",0,1,213,10,"0,286","0,625",,"0,045","2,1889","0,286",,
2iodo-2tetrahydroacridindecoy40,224,"-52,3",0,1,214,10,"0,287","0,625",,"0,045","2,1791","0,287",,
3iodo-2tetrahydroacridindecoy20,225,"-52,3",0,1,215,10,"0,288","0,625",,"0,044","2,1694","0,288",,
Bis-tacrinedecoy43,226,"-52,3",0,1,216,10,"0,289","0,625",,"0,044","2,1598","0,289",,
3iodo-2tetrahydroacridindecoy28,227,"-52,3",0,1,217,10,"0,291","0,625",,"0,044","2,1503","0,291",,
4iodo-3tetrahydroacridindecoy1,228,"-52,3",0,1,218,10,"0,292","0,625",,"0,044","2,1409","0,292",,
Donepezildecoy35,229,"-52,2",0,1,219,10,"0,293","0,625",,"0,044","2,1315","0,293",,
