Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy14,44,"-11,3",0,1,42,2,"0,0563","0,125",,"0,045","2,2187","0,0563",,
4iodo-4tetrahydroacridin,45,"-11,3",1,0,42,3,"0,0576","0,188",,"0,067","3,2541","0,0576",,
4iodo-4tetrahydroacridindecoy10,46,"-11,2",0,1,43,3,"0,0589","0,188",,"0,065","3,1834","0,0589",,
4iodo-4tetrahydroacridindecoy7,47,"-11,1",0,1,44,3,"0,0602","0,188",,"0,064","3,1156","0,0602",,
4iodo-2tetrahydroacridindecoy48,48,"-11,1",0,1,45,3,"0,0615","0,188",,"0,063","3,0507","0,0615",,
Bis-tacrinedecoy46,49,"-11,1",0,1,46,3,"0,0627","0,188",,"0,061","2,9885","0,0627",,
2iodo-3tetrahydroacridindecoy17,50,"-11,0",0,1,47,3,"0,0640","0,188",,"0,060","2,9287","0,0640",,
4iodo-3tetrahydroacridindecoy50,51,"-11,0",0,1,48,3,"0,0653","0,188",,"0,059","2,8713","0,0653",,
4iodo-3tetrahydroacridindecoy45,52,"-11,0",0,1,49,3,"0,0666","0,188",,"0,058","2,8160","0,0666",,
2iodo-3tetrahydroacridindecoy38,53,"-10,9",0,1,50,3,"0,0679","0,188",,"0,057","2,7629","0,0679",,
4iodo-4tetrahydroacridindecoy9,54,"-10,9",0,1,51,3,"0,0691","0,188",,"0,056","2,7117","0,0691",,
2iodo-3tetrahydroacridindecoy29,55,"-10,9",0,1,52,3,"0,0704","0,188",,"0,055","2,6624","0,0704",,
2iodo-4tetrahydroacridin,56,"-10,9",1,0,52,4,"0,0717","0,250",,"0,071","3,4865","0,0717",,
4iodo-4tetrahydroacridindecoy8,57,"-10,9",0,1,53,4,"0,0730","0,250",,"0,070","3,4254","0,0730",,
2iodo-4tetrahydroacridindecoy29,58,"-10,9",0,1,54,4,"0,0743","0,250",,"0,069","3,3663","0,0743",,
Donepezildecoy29,59,"-10,9",0,1,55,4,"0,0755","0,250",,"0,068","3,3093","0,0755",,
Bis-tacrinedecoy44,60,"-10,8",0,1,56,4,"0,0768","0,250",,"0,067","3,2541","0,0768",,
Heptyl-physostigminedecoy30,61,"-10,8",0,1,57,4,"0,0781","0,250",,"0,066","3,2008","0,0781",,
Heptyl-physostigminedecoy46,62,"-10,8",0,1,58,4,"0,0794","0,250",,"0,065","3,1491","0,0794",,
Bis-tacrinedecoy25,63,"-10,8",0,1,59,4,"0,0807","0,250",,"0,063","3,0991","0,0807",,
2iodo-4tetrahydroacridindecoy21,64,"-10,8",0,1,60,4,"0,0819","0,250",,"0,063","3,0507","0,0819",,
4iodo-2tetrahydroacridindecoy13,65,"-10,8",0,1,61,4,"0,0832","0,250",,"0,062","3,0038","0,0832",,
2iodo-4tetrahydroacridindecoy30,66,"-10,8",0,1,62,4,"0,0845","0,250",,"0,061","2,9583","0,0845",,
4iodo-4tetrahydroacridindecoy19,67,"-10,8",0,1,63,4,"0,0858","0,250",,"0,060","2,9141","0,0858",,
4iodo-4tetrahydroacridindecoy12,68,"-10,7",0,1,64,4,"0,0871","0,250",,"0,059","2,8713","0,0871",,
3iodo-2tetrahydroacridindecoy49,69,"-10,7",0,1,65,4,"0,0883","0,250",,"0,058","2,8296","0,0883",,
2iodo-3tetrahydroacridindecoy48,70,"-10,7",0,1,66,4,"0,0896","0,250",,"0,057","2,7892","0,0896",,
2iodo-3tetrahydroacridindecoy14,71,"-10,7",0,1,67,4,"0,0909","0,250",,"0,056","2,7499","0,0909",,
4iodo-4tetrahydroacridindecoy33,72,"-10,7",0,1,68,4,"0,0922","0,250",,"0,056","2,7117","0,0922",,
Heptyl-physostigminedecoy50,73,"-10,7",0,1,69,4,"0,0935","0,250",,"0,055","2,6746","0,0935",,
2iodo-3tetrahydroacridindecoy47,74,"-10,6",0,1,70,4,"0,0948","0,250",,"0,054","2,6385","0,0948",,
4iodo-3tetrahydroacridindecoy49,75,"-10,6",0,1,71,4,"0,0960","0,250",,"0,053","2,6033","0,0960",,
2iodo-3tetrahydroacridindecoy33,76,"-10,6",0,1,72,4,"0,0973","0,250",,"0,053","2,5690","0,0973",,
2iodo-2tetrahydroacridindecoy47,77,"-10,6",0,1,73,4,"0,0986","0,250",,"0,052","2,5357","0,0986",,
4iodo-3tetrahydroacridin,78,"-10,6",1,0,73,5,"0,0999","0,313",,"0,064","3,1289","0,0999",,
Heptyl-physostigminedecoy47,79,"-10,6",0,1,74,5,"0,1012","0,313",,"0,063","3,0893","0,1012",,
Heptyl-physostigminedecoy38,80,"-10,6",0,1,75,5,"0,1024","0,313",,"0,063","3,0507","0,1024",,
4iodo-4tetrahydroacridindecoy15,81,"-10,6",0,1,76,5,"0,1037","0,313",,"0,062","3,0131","0,1037",,
4iodo-2tetrahydroacridindecoy25,82,"-10,6",0,1,77,5,"0,1050","0,313",,"0,061","2,9763","0,1050",,
4iodo-3tetrahydroacridindecoy40,83,"-10,5",0,1,78,5,"0,1063","0,313",,"0,060","2,9404","0,1063",,
2iodo-3tetrahydroacridindecoy23,84,"-10,5",0,1,79,5,"0,1076","0,313",,"0,060","2,9054","0,1076",,
2iodo-3tetrahydroacridindecoy16,85,"-10,5",0,1,80,5,"0,1088","0,313",,"0,059","2,8713","0,1088",,
Donepezildecoy11,86,"-10,5",0,1,81,5,"0,1101","0,313",,"0,058","2,8379","0,1101",,
Heptyl-physostigminedecoy27,87,"-10,5",0,1,82,5,"0,1114","0,313",,"0,057","2,8053","0,1114",,
Heptyl-physostigminedecoy45,88,"-10,5",0,1,83,5,"0,1127","0,313",,"0,057","2,7734","0,1127",,
Bis-tacrinedecoy15,89,"-10,5",0,1,84,5,"0,1140","0,313",,"0,056","2,7422","0,1140",,
4iodo-3tetrahydroacridindecoy38,90,"-10,5",0,1,85,5,"0,1152","0,313",,"0,056","2,7117","0,1152",,
Heptyl-physostigminedecoy15,91,"-10,5",0,1,86,5,"0,1165","0,313",,"0,055","2,6819","0,1165",,
4iodo-3tetrahydroacridindecoy16,92,"-10,5",0,1,87,5,"0,1178","0,313",,"0,054","2,6528","0,1178",,
2iodo-3tetrahydroacridindecoy45,93,"-10,4",0,1,88,5,"0,1191","0,313",,"0,054","2,6243","0,1191",,
2iodo-3tetrahydroacridindecoy49,94,"-10,4",0,1,89,5,"0,1204","0,313",,"0,053","2,5964","0,1204",,
Heptyl-physostigminedecoy44,95,"-10,4",0,1,90,5,"0,1216","0,313",,"0,053","2,5690","0,1216",,
3iodo-2tetrahydroacridindecoy48,96,"-10,4",0,1,91,5,"0,1229","0,313",,"0,052","2,5423","0,1229",,
4iodo-2tetrahydroacridindecoy34,97,"-10,4",0,1,92,5,"0,1242","0,313",,"0,052","2,5161","0,1242",,
Heptyl-physostigminedecoy37,98,"-10,4",0,1,93,5,"0,1255","0,313",,"0,051","2,4904","0,1255",,
4iodo-3tetrahydroacridindecoy37,99,"-10,4",0,1,94,5,"0,1268","0,313",,"0,051","2,4652","0,1268",,
Donepezil,100,"-10,4",1,0,94,6,"0,1280","0,375",,"0,060","2,9287","0,1280",,
Donepezildecoy19,101,"-10,3",0,1,95,6,"0,1293","0,375",,"0,059","2,8997","0,1293",,
2iodo-3tetrahydroacridindecoy19,102,"-10,3",0,1,96,6,"0,1306","0,375",,"0,059","2,8713","0,1306",,
2iodo-4tetrahydroacridindecoy25,103,"-10,3",0,1,97,6,"0,1319","0,375",,"0,058","2,8434","0,1319",,
Donepezildecoy48,104,"-10,3",0,1,98,6,"0,1332","0,375",,"0,058","2,8160","0,1332",,
