Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-2tetrahydroacridin,47,"-10,6",1,0,39,5,"0,060","0,313",,"0,106","5,1927","0,060",,
3iodo-2tetrahydroacridindecoy28,48,"-10,5",0,1,43,5,"0,061","0,313",,"0,104","5,0845","0,061",,
4iodo-4tetrahydroacridindecoy33,49,"-10,5",0,1,44,5,"0,063","0,313",,"0,102","4,9808","0,063",,
Donepezildecoy11,50,"-10,5",0,1,45,5,"0,064","0,313",,"0,100","4,8811","0,064",,
4iodo-2tetrahydroacridindecoy10,51,"-10,5",0,1,46,5,"0,065","0,313",,"0,098","4,7854","0,065",,
2iodo-4tetrahydroacridindecoy46,52,"-10,5",0,1,47,5,"0,067","0,313",,"0,096","4,6934","0,067",,
2iodo-4tetrahydroacridindecoy47,53,"-10,5",0,1,48,5,"0,068","0,313",,"0,094","4,6049","0,068",,
Heptyl-physostigminedecoy17,54,"-10,5",0,1,49,5,"0,069","0,313",,"0,093","4,5196","0,069",,
Tolserinedecoy26,55,"-10,5",0,1,50,5,"0,070","0,313",,"0,091","4,4374","0,070",,
2iodo-4tetrahydroacridindecoy31,56,"-10,4",0,1,51,5,"0,072","0,313",,"0,089","4,3582","0,072",,
2iodo-2tetrahydroacridindecoy34,57,"-10,4",0,1,52,5,"0,073","0,313",,"0,088","4,2817","0,073",,
2iodo-4tetrahydroacridindecoy29,58,"-10,4",0,1,53,5,"0,074","0,313",,"0,086","4,2079","0,074",,
4iodo-3tetrahydroacridindecoy49,59,"-10,4",0,1,54,6,"0,076","0,375",,"0,102","4,9639","0,076",,
4iodo-4tetrahydroacridindecoy14,60,"-10,4",0,1,55,6,"0,077","0,375",,"0,100","4,8811","0,077",,
Donepezildecoy31,61,"-10,4",0,1,56,6,"0,078","0,375",,"0,098","4,8011","0,078",,
Heptyl-physostigminedecoy30,62,"-10,4",0,1,57,6,"0,079","0,375",,"0,097","4,7237","0,079",,
2iodo-2tetrahydroacridindecoy39,63,"-10,4",0,1,58,6,"0,081","0,375",,"0,095","4,6487","0,081",,
2iodo-3tetrahydroacridindecoy29,64,"-10,4",0,1,59,6,"0,082","0,375",,"0,094","4,5761","0,082",,
2iodo-3tetrahydroacridindecoy47,65,"-10,4",0,1,60,6,"0,083","0,375",,"0,092","4,5057","0,083",,
3iodo-2tetrahydroacridindecoy46,66,"-10,4",0,1,61,6,"0,085","0,375",,"0,091","4,4374","0,085",,
Bis-tacrinedecoy40,67,"-10,4",0,1,62,6,"0,086","0,375",,"0,090","4,3712","0,086",,
Heptyl-physostigminedecoy16,68,"-10,4",0,1,63,6,"0,087","0,375",,"0,088","4,3069","0,087",,
4iodo-2tetrahydroacridindecoy23,69,"-10,4",0,1,64,6,"0,088","0,375",,"0,087","4,2445","0,088",,
Bis-tacrinedecoy29,70,"-10,4",0,1,65,6,"0,090","0,375",,"0,086","4,1838","0,090",,
Heptyl-physostigminedecoy44,71,"-10,4",0,1,66,6,"0,091","0,375",,"0,085","4,1249","0,091",,
4iodo-3tetrahydroacridin,72,"-10,4",1,0,53,6,"0,092","0,375",,"0,083","4,0676","0,092",,
4iodo-2tetrahydroacridindecoy38,73,"-10,3",0,1,67,6,"0,093","0,375",,"0,082","4,0119","0,093",,
Bis-tacrinedecoy17,74,"-10,3",0,1,68,6,"0,095","0,375",,"0,081","3,9577","0,095",,
2iodo-3tetrahydroacridindecoy41,75,"-10,3",0,1,69,6,"0,096","0,375",,"0,080","3,9049","0,096",,
4iodo-2tetrahydroacridindecoy4,76,"-10,3",0,1,70,6,"0,097","0,375",,"0,079","3,8535","0,097",,
2iodo-3tetrahydroacridindecoy45,77,"-10,3",0,1,71,6,"0,099","0,375",,"0,078","3,8035","0,099",,
3iodo-2tetrahydroacridindecoy2,78,"-10,3",0,1,72,6,"0,100","0,375",,"0,077","3,7547","0,100",,
4iodo-4tetrahydroacridindecoy26,79,"-10,3",0,1,73,6,"0,101","0,375",,"0,076","3,7072","0,101",,
4iodo-3tetrahydroacridindecoy45,80,"-10,3",0,1,74,6,"0,102","0,375",,"0,075","3,6609","0,102",,
4iodo-2tetrahydroacridindecoy22,81,"-10,3",0,1,75,6,"0,104","0,375",,"0,074","3,6157","0,104",,
Heptyl-physostigminedecoy33,82,"-10,3",0,1,76,6,"0,105","0,375",,"0,073","3,5716","0,105",,
Tolserinedecoy32,83,"-10,3",0,1,77,6,"0,106","0,375",,"0,072","3,5285","0,106",,
Tolserinedecoy13,84,"-10,2",0,1,78,6,"0,108","0,375",,"0,071","3,4865","0,108",,
Tolserinedecoy6,85,"-10,2",0,1,79,7,"0,109","0,438",,"0,082","4,0198","0,109",,
2iodo-4tetrahydroacridindecoy12,86,"-10,2",0,1,80,7,"0,110","0,438",,"0,081","3,9730","0,110",,
Tolserinedecoy23,87,"-10,2",0,1,81,7,"0,111","0,438",,"0,080","3,9274","0,111",,
2iodo-3tetrahydroacridindecoy49,88,"-10,2",0,1,82,7,"0,113","0,438",,"0,080","3,8827","0,113",,
Tolserinedecoy50,89,"-10,2",0,1,83,7,"0,114","0,438",,"0,079","3,8391","0,114",,
2iodo-4tetrahydroacridindecoy18,90,"-10,2",0,1,84,7,"0,115","0,438",,"0,078","3,7964","0,115",,
3iodo-2tetrahydroacridindecoy26,91,"-10,2",0,1,85,7,"0,117","0,438",,"0,077","3,7547","0,117",,
4iodo-2tetrahydroacridindecoy41,92,"-10,2",0,1,86,7,"0,118","0,438",,"0,076","3,7139","0,118",,
4iodo-3tetrahydroacridindecoy32,93,"-10,2",0,1,87,7,"0,119","0,438",,"0,075","3,6740","0,119",,
2iodo-4tetrahydroacridindecoy16,94,"-10,2",0,1,88,7,"0,120","0,438",,"0,074","3,6349","0,120",,
2iodo-4tetrahydroacridin,95,"-10,2",1,0,78,7,"0,122","0,438",,"0,074","3,5966","0,122",,
2iodo-2tetrahydroacridindecoy19,96,"-10,1",0,1,89,7,"0,123","0,438",,"0,073","3,5592","0,123",,
3iodo-2tetrahydroacridindecoy39,97,"-10,1",0,1,90,7,"0,124","0,438",,"0,072","3,5225","0,124",,
3iodo-2tetrahydroacridindecoy44,98,"-10,1",0,1,91,7,"0,125","0,438",,"0,071","3,4865","0,125",,
3iodo-4tetrahydroacridindecoy15,99,"-10,1",0,1,92,7,"0,127","0,438",,"0,071","3,4513","0,127",,
4iodo-2tetrahydroacridindecoy35,100,"-10,1",0,1,93,7,"0,128","0,438",,"0,070","3,4168","0,128",,
4iodo-2tetrahydroacridindecoy44,101,"-10,1",0,1,94,7,"0,129","0,438",,"0,069","3,3830","0,129",,
4iodo-2tetrahydroacridindecoy9,102,"-10,1",0,1,95,7,"0,131","0,438",,"0,069","3,3498","0,131",,
4iodo-4tetrahydroacridindecoy43,103,"-10,1",0,1,96,7,"0,132","0,438",,"0,068","3,3173","0,132",,
2iodo-2tetrahydroacridindecoy12,104,"-10,1",0,1,97,7,"0,133","0,438",,"0,067","3,2854","0,133",,
2iodo-3tetrahydroacridindecoy28,105,"-10,1",0,1,98,7,"0,134","0,438",,"0,067","3,2541","0,134",,
2iodo-4tetrahydroacridindecoy1,106,"-10,1",0,1,99,7,"0,136","0,438",,"0,066","3,2234","0,136",,
Bis-tacrinedecoy43,107,"-10,1",0,1,100,7,"0,137","0,438",,"0,065","3,1933","0,137",,
3iodo-4tetrahydroacridindecoy10,108,"-10,1",0,1,101,7,"0,138","0,438",,"0,065","3,1637","0,138",,
4iodo-2tetrahydroacridindecoy12,109,"-10,1",0,1,102,7,"0,140","0,438",,"0,064","3,1347","0,140",,
4iodo-2tetrahydroacridindecoy31,110,"-10,1",0,1,103,7,"0,141","0,438",,"0,064","3,1062","0,141",,
3iodo-2tetrahydroacridindecoy43,111,"-10,1",0,1,104,7,"0,142","0,438",,"0,063","3,0782","0,142",,
2iodo-2tetrahydroacridindecoy11,112,"-10,1",0,1,105,7,"0,143","0,438",,"0,063","3,0507","0,143",,
4iodo-2tetrahydroacridindecoy50,113,"-10,1",0,1,106,7,"0,145","0,438",,"0,062","3,0237","0,145",,
4iodo-4tetrahydroacridindecoy32,114,"-10,1",0,1,107,7,"0,146","0,438",,"0,061","2,9972","0,146",,
Tolserinedecoy33,115,"-10,1",0,1,108,7,"0,147","0,438",,"0,061","2,9711","0,147",,
2iodo-4tetrahydroacridindecoy22,116,"-10,1",0,1,109,7,"0,149","0,438",,"0,060","2,9455","0,149",,
2iodo-3tetrahydroacridindecoy14,117,"-10,0",0,1,110,8,"0,150","0,500",,"0,068","3,3375","0,150",,
4iodo-2tetrahydroacridindecoy42,118,"-10,0",0,1,111,8,"0,151","0,500",,"0,068","3,3093","0,151",,
Bis-tacrinedecoy2,119,"-10,0",0,1,112,8,"0,152","0,500",,"0,067","3,2814","0,152",,
Donepezildecoy10,120,"-10,0",0,1,113,8,"0,154","0,500",,"0,067","3,2541","0,154",,
Tolserinedecoy34,121,"-10,0",0,1,114,8,"0,155","0,500",,"0,066","3,2272","0,155",,
3iodo-2tetrahydroacridindecoy45,122,"-10,0",0,1,115,8,"0,156","0,500",,"0,066","3,2008","0,156",,
4iodo-4tetrahydroacridindecoy27,123,"-10,0",0,1,116,8,"0,157","0,500",,"0,065","3,1747","0,157",,
4iodo-4tetrahydroacridindecoy3,124,"-10,0",0,1,117,8,"0,159","0,500",,"0,065","3,1491","0,159",,
Tolserinedecoy11,125,"-10,0",0,1,118,8,"0,160","0,500",,"0,064","3,1239","0,160",,
2iodo-3tetrahydroacridindecoy22,126,"-10,0",0,1,119,8,"0,161","0,500",,"0,063","3,0991","0,161",,
4iodo-4tetrahydroacridindecoy23,127,"-10,0",0,1,120,8,"0,163","0,500",,"0,063","3,0747","0,163",,
Bis-tacrinedecoy31,128,"-10,0",0,1,121,8,"0,164","0,500",,"0,063","3,0507","0,164",,
Heptyl-physostigminedecoy5,129,"-10,0",0,1,122,8,"0,165","0,500",,"0,062","3,0271","0,165",,
2iodo-4tetrahydroacridindecoy40,130,"-10,0",0,1,123,8,"0,166","0,500",,"0,062","3,0038","0,166",,
Tolserinedecoy16,131,"-10,0",0,1,124,8,"0,168","0,500",,"0,061","2,9809","0,168",,
2iodo-2tetrahydroacridindecoy31,132,"-10,0",0,1,125,8,"0,169","0,500",,"0,061","2,9583","0,169",,
Tolserinedecoy31,133,"-10,0",0,1,126,8,"0,170","0,500",,"0,060","2,9360","0,170",,
2iodo-2tetrahydroacridindecoy25,134,"-10,0",0,1,127,8,"0,172","0,500",,"0,060","2,9141","0,172",,
2iodo-4tetrahydroacridindecoy23,135,"-10,0",0,1,128,8,"0,173","0,500",,"0,059","2,8925","0,173",,
3iodo-4tetrahydroacridindecoy49,136,"-10,0",0,1,129,8,"0,174","0,500",,"0,059","2,8713","0,174",,
4iodo-3tetrahydroacridindecoy16,137,"-10,0",0,1,130,8,"0,175","0,500",,"0,058","2,8503","0,175",,
Bis-tacrinedecoy28,138,"-10,0",0,1,131,8,"0,177","0,500",,"0,058","2,8296","0,177",,
Donepezildecoy43,139,"-10,0",0,1,132,8,"0,178","0,500",,"0,058","2,8093","0,178",,
2iodo-3tetrahydroacridin,140,"-10,0",1,0,109,8,"0,179","0,500",,"0,057","2,7892","0,179",,
2iodo-2tetrahydroacridindecoy22,141,"-9,9",0,1,133,8,"0,181","0,500",,"0,057","2,7694","0,181",,
2iodo-4tetrahydroacridindecoy30,142,"-9,9",0,1,134,8,"0,182","0,500",,"0,056","2,7499","0,182",,
3iodo-4tetrahydroacridindecoy33,143,"-9,9",0,1,135,8,"0,183","0,500",,"0,056","2,7307","0,183",,
Heptyl-physostigminedecoy3,144,"-9,9",0,1,136,8,"0,184","0,500",,"0,056","2,7117","0,184",,
Tolserinedecoy5,145,"-9,9",0,1,137,8,"0,186","0,500",,"0,055","2,6930","0,186",,
Tolserinedecoy9,146,"-9,9",0,1,138,8,"0,187","0,500",,"0,055","2,6746","0,187",,
2iodo-2tetrahydroacridindecoy42,147,"-9,9",0,1,139,8,"0,188","0,500",,"0,054","2,6564","0,188",,
2iodo-3tetrahydroacridindecoy46,148,"-9,9",0,1,140,8,"0,190","0,500",,"0,054","2,6385","0,190",,
2iodo-3tetrahydroacridindecoy9,149,"-9,9",0,1,141,8,"0,191","0,500",,"0,054","2,6207","0,191",,
2iodo-4tetrahydroacridindecoy19,150,"-9,9",0,1,142,8,"0,192","0,500",,"0,053","2,6033","0,192",,
4iodo-2tetrahydroacridindecoy19,151,"-9,9",0,1,143,8,"0,193","0,500",,"0,053","2,5860","0,193",,
4iodo-4tetrahydroacridindecoy39,152,"-9,9",0,1,144,8,"0,195","0,500",,"0,053","2,5690","0,195",,
Bis-tacrinedecoy33,153,"-9,9",0,1,145,8,"0,196","0,500",,"0,052","2,5522","0,196",,
Tolserinedecoy20,154,"-9,9",0,1,146,8,"0,197","0,500",,"0,052","2,5357","0,197",,
4iodo-2tetrahydroacridindecoy20,155,"-9,9",0,1,147,8,"0,198","0,500",,"0,052","2,5193","0,198",,
4iodo-4tetrahydroacridindecoy15,156,"-9,9",0,1,148,8,"0,200","0,500",,"0,051","2,5032","0,200",,
Bis-tacrinedecoy6,157,"-9,9",0,1,149,8,"0,201","0,500",,"0,051","2,4872","0,201",,
2iodo-2tetrahydroacridindecoy30,158,"-9,9",0,1,150,8,"0,202","0,500",,"0,051","2,4715","0,202",,
2iodo-2tetrahydroacridindecoy43,159,"-9,9",0,1,151,8,"0,204","0,500",,"0,050","2,4559","0,204",,
2iodo-4tetrahydroacridindecoy14,160,"-9,9",0,1,152,8,"0,205","0,500",,"0,050","2,4406","0,205",,
3iodo-4tetrahydroacridindecoy1,161,"-9,9",0,1,153,8,"0,206","0,500",,"0,050","2,4254","0,206",,
4iodo-3tetrahydroacridindecoy9,162,"-9,9",0,1,154,8,"0,207","0,500",,"0,049","2,4104","0,207",,
4iodo-2tetrahydroacridindecoy45,163,"-9,9",0,1,155,8,"0,209","0,500",,"0,049","2,3957","0,209",,
Tolserinedecoy22,164,"-9,9",0,1,156,8,"0,210","0,500",,"0,049","2,3810","0,210",,
Tolserinedecoy38,165,"-9,9",0,1,157,8,"0,211","0,500",,"0,048","2,3666","0,211",,
2iodo-2tetrahydroacridindecoy13,166,"-9,9",0,1,158,8,"0,213","0,500",,"0,048","2,3524","0,213",,
2iodo-3tetrahydroacridindecoy16,167,"-9,9",0,1,159,8,"0,214","0,500",,"0,048","2,3383","0,214",,
4iodo-2tetrahydroacridindecoy2,168,"-9,9",0,1,160,8,"0,215","0,500",,"0,048","2,3244","0,215",,
4iodo-2tetrahydroacridindecoy33,169,"-9,9",0,1,161,8,"0,216","0,500",,"0,047","2,3106","0,216",,
4iodo-2tetrahydroacridindecoy46,170,"-9,9",0,1,162,8,"0,218","0,500",,"0,047","2,2970","0,218",,
Tolserinedecoy36,171,"-9,9",0,1,163,8,"0,219","0,500",,"0,047","2,2836","0,219",,
2iodo-2tetrahydroacridin,172,"-9,8",1,0,163,9,"0,220","0,563",,"0,052","2,5541","0,220",,
3iodo-2tetrahydroacridindecoy12,173,"-9,8",0,1,164,9,"0,222","0,563",,"0,052","2,5393","0,222",,
Bis-tacrinedecoy50,174,"-9,8",0,1,165,9,"0,223","0,563",,"0,052","2,5247","0,223",,
2iodo-3tetrahydroacridindecoy44,175,"-9,8",0,1,166,9,"0,224","0,563",,"0,051","2,5103","0,224",,
2iodo-3tetrahydroacridindecoy48,176,"-9,8",0,1,167,9,"0,225","0,563",,"0,051","2,4960","0,225",,
3iodo-4tetrahydroacridindecoy8,177,"-9,8",0,1,168,9,"0,227","0,563",,"0,051","2,4819","0,227",,
4iodo-2tetrahydroacridindecoy15,178,"-9,8",0,1,169,9,"0,228","0,563",,"0,051","2,4680","0,228",,
4iodo-4tetrahydroacridindecoy30,179,"-9,8",0,1,170,9,"0,229","0,563",,"0,050","2,4542","0,229",,
2iodo-3tetrahydroacridindecoy17,180,"-9,8",0,1,171,9,"0,230","0,563",,"0,050","2,4406","0,230",,
4iodo-2tetrahydroacridindecoy17,181,"-9,8",0,1,172,9,"0,232","0,563",,"0,050","2,4271","0,232",,
4iodo-2tetrahydroacridindecoy5,182,"-9,8",0,1,173,9,"0,233","0,563",,"0,049","2,4138","0,233",,
4iodo-3tetrahydroacridindecoy19,183,"-9,8",0,1,174,9,"0,234","0,563",,"0,049","2,4006","0,234",,
Tolserinedecoy19,184,"-9,8",0,1,175,9,"0,236","0,563",,"0,049","2,3875","0,236",,
Tolserinedecoy44,185,"-9,8",0,1,176,9,"0,237","0,563",,"0,049","2,3746","0,237",,
2iodo-2tetrahydroacridindecoy46,186,"-9,8",0,1,177,9,"0,238","0,563",,"0,048","2,3618","0,238",,
2iodo-2tetrahydroacridindecoy41,187,"-9,8",0,1,178,9,"0,239","0,563",,"0,048","2,3492","0,239",,
2iodo-2tetrahydroacridindecoy8,188,"-9,8",0,1,179,9,"0,241","0,563",,"0,048","2,3367","0,241",,
3iodo-4tetrahydroacridindecoy7,189,"-9,8",0,1,180,9,"0,242","0,563",,"0,048","2,3244","0,242",,
4iodo-4tetrahydroacridindecoy44,190,"-9,8",0,1,181,9,"0,243","0,563",,"0,047","2,3121","0,243",,
3iodo-2tetrahydroacridindecoy22,191,"-9,8",0,1,182,9,"0,245","0,563",,"0,047","2,3000","0,245",,
Tolserinedecoy48,192,"-9,8",0,1,183,9,"0,246","0,563",,"0,047","2,2880","0,246",,
3iodo-4tetrahydroacridindecoy32,193,"-9,8",0,1,184,9,"0,247","0,563",,"0,047","2,2762","0,247",,
3iodo-4tetrahydroacridindecoy48,194,"-9,8",0,1,185,9,"0,248","0,563",,"0,046","2,2644","0,248",,
4iodo-4tetrahydroacridindecoy9,195,"-9,8",0,1,186,9,"0,250","0,563",,"0,046","2,2528","0,250",,
Donepezildecoy14,196,"-9,8",0,1,187,9,"0,251","0,563",,"0,046","2,2413","0,251",,
Donepezildecoy48,197,"-9,8",0,1,188,9,"0,252","0,563",,"0,046","2,2300","0,252",,
2iodo-2tetrahydroacridindecoy2,198,"-9,7",0,1,189,9,"0,254","0,563",,"0,045","2,2187","0,254",,
2iodo-4tetrahydroacridindecoy26,199,"-9,7",0,1,190,9,"0,255","0,563",,"0,045","2,2076","0,255",,
4iodo-4tetrahydroacridindecoy8,200,"-9,7",0,1,191,9,"0,256","0,563",,"0,045","2,1965","0,256",,
Donepezildecoy28,201,"-9,7",0,1,192,9,"0,257","0,563",,"0,045","2,1856","0,257",,
Heptyl-physostigminedecoy37,202,"-9,7",0,1,193,9,"0,259","0,563",,"0,045","2,1748","0,259",,
4iodo-3tetrahydroacridindecoy47,203,"-9,7",0,1,194,9,"0,260","0,563",,"0,044","2,1641","0,260",,
2iodo-4tetrahydroacridindecoy15,204,"-9,7",0,1,195,9,"0,261","0,563",,"0,044","2,1534","0,261",,
2iodo-4tetrahydroacridindecoy25,205,"-9,7",0,1,196,9,"0,262","0,563",,"0,044","2,1429","0,262",,
3iodo-2tetrahydroacridindecoy21,206,"-9,7",0,1,197,9,"0,264","0,563",,"0,044","2,1325","0,264",,
4iodo-4tetrahydroacridindecoy38,207,"-9,7",0,1,198,9,"0,265","0,563",,"0,043","2,1222","0,265",,
4iodo-4tetrahydroacridindecoy46,208,"-9,7",0,1,199,9,"0,266","0,563",,"0,043","2,1120","0,266",,
Galantaminedecoy32,209,"-9,7",0,1,200,9,"0,268","0,563",,"0,043","2,1019","0,268",,
Heptyl-physostigminedecoy24,210,"-9,7",0,1,201,9,"0,269","0,563",,"0,043","2,0919","0,269",,
3iodo-2tetrahydroacridindecoy30,211,"-9,7",0,1,202,9,"0,270","0,563",,"0,043","2,0820","0,270",,
4iodo-2tetrahydroacridindecoy29,212,"-9,7",0,1,203,9,"0,271","0,563",,"0,042","2,0722","0,271",,
4iodo-3tetrahydroacridindecoy21,213,"-9,7",0,1,204,9,"0,273","0,563",,"0,042","2,0625","0,273",,
4iodo-3tetrahydroacridindecoy26,214,"-9,7",0,1,205,9,"0,274","0,563",,"0,042","2,0528","0,274",,
Donepezildecoy38,215,"-9,7",0,1,206,9,"0,275","0,563",,"0,042","2,0433","0,275",,
Donepezildecoy4,216,"-9,7",0,1,207,9,"0,277","0,563",,"0,042","2,0338","0,277",,
Heptyl-physostigminedecoy45,217,"-9,7",0,1,208,9,"0,278","0,563",,"0,041","2,0244","0,278",,
Heptyl-physostigminedecoy8,218,"-9,7",0,1,209,9,"0,279","0,563",,"0,041","2,0152","0,279",,
Heptyl-physostigminedecoy9,219,"-9,7",0,1,210,9,"0,280","0,563",,"0,041","2,0059","0,280",,
Tolserinedecoy24,220,"-9,7",0,1,211,9,"0,282","0,563",,"0,041","1,9968","0,282",,
Heptyl-physostigminedecoy32,221,"-9,7",0,1,212,9,"0,283","0,563",,"0,041","1,9878","0,283",,
2iodo-3tetrahydroacridindecoy23,222,"-9,7",0,1,213,9,"0,284","0,563",,"0,041","1,9788","0,284",,
4iodo-4tetrahydroacridindecoy35,223,"-9,7",0,1,214,9,"0,286","0,563",,"0,040","1,9700","0,286",,
Donepezildecoy6,224,"-9,7",0,1,215,9,"0,287","0,563",,"0,040","1,9612","0,287",,
Tolserinedecoy7,225,"-9,7",0,1,216,9,"0,288","0,563",,"0,040","1,9525","0,288",,
2iodo-3tetrahydroacridindecoy24,226,"-9,6",0,1,217,9,"0,289","0,563",,"0,040","1,9438","0,289",,
4iodo-3tetrahydroacridindecoy11,227,"-9,6",0,1,218,9,"0,291","0,563",,"0,040","1,9353","0,291",,
Bis-tacrinedecoy34,228,"-9,6",0,1,219,9,"0,292","0,563",,"0,039","1,9268","0,292",,
Donepezildecoy1,229,"-9,6",0,1,220,9,"0,293","0,563",,"0,039","1,9184","0,293",,
Donepezildecoy21,230,"-9,6",0,1,221,9,"0,294","0,563",,"0,039","1,9100","0,294",,
