Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy11,65,"-10,8",0,1,65,1,"0,0832","0,0625",,"0,015","0,7509","0,083",,
Bis-tacrinedecoy7,66,"-10,8",0,1,66,1,"0,0845","0,0625",,"0,015","0,7396","0,085",,
2iodo-4tetrahydroacridindecoy4,67,"-10,8",0,1,67,1,"0,0858","0,0625",,"0,015","0,7285","0,086",,
2iodo-4tetrahydroacridindecoy6,68,"-10,8",0,1,68,1,"0,0871","0,0625",,"0,015","0,7178","0,087",,
Bis-tacrinedecoy29,69,"-10,8",0,1,69,1,"0,0883","0,0625",,"0,014","0,7074","0,088",,
2iodo-4tetrahydroacridindecoy5,70,"-10,8",0,1,70,1,"0,0896","0,0625",,"0,014","0,6973","0,090",,
2iodo-2tetrahydroacridindecoy6,71,"-10,8",0,1,71,1,"0,0909","0,0625",,"0,014","0,6875","0,091",,
4iodo-4tetrahydroacridindecoy46,72,"-10,8",0,1,72,1,"0,0922","0,0625",,"0,014","0,6779","0,092",,
3iodo-2tetrahydroacridindecoy11,74,"-10,7",0,1,73,1,"0,0948","0,0625",,"0,014","0,6596","0,095",,
4iodo-3tetrahydroacridindecoy10,75,"-10,7",0,1,74,1,"0,0960","0,0625",,"0,013","0,6508","0,096",,
4iodo-2tetrahydroacridindecoy24,76,"-10,7",0,1,75,1,"0,0973","0,0625",,"0,013","0,6423","0,097",,
2iodo-4tetrahydroacridindecoy3,77,"-10,7",0,1,76,1,"0,0986","0,0625",,"0,013","0,6339","0,099",,
3iodo-4tetrahydroacridindecoy24,78,"-10,7",0,1,77,1,"0,0999","0,0625",,"0,013","0,6258","0,100",,
2iodo-2tetrahydroacridindecoy20,79,"-10,7",0,1,78,1,"0,1012","0,0625",,"0,013","0,6179","0,101",,
4iodo-2tetrahydroacridindecoy18,80,"-10,6",0,1,79,1,"0,1024","0,0625",,"0,013","0,6101","0,102",,
Bis-tacrinedecoy35,81,"-10,6",0,1,80,1,"0,1037","0,0625",,"0,012","0,6026","0,104",,
4iodo-4tetrahydroacridindecoy44,82,"-10,6",0,1,81,1,"0,1050","0,0625",,"0,012","0,5953","0,105",,
4iodo-2tetrahydroacridindecoy47,83,"-10,6",0,1,82,1,"0,1063","0,0625",,"0,012","0,5881","0,106",,
3iodo-4tetrahydroacridindecoy29,84,"-10,6",0,1,83,1,"0,1076","0,0625",,"0,012","0,5811","0,108",,
Bis-tacrinedecoy48,85,"-10,6",0,1,84,1,"0,1088","0,0625",,"0,012","0,5743","0,109",,
4iodo-4tetrahydroacridindecoy2,86,"-10,6",0,1,85,1,"0,1101","0,0625",,"0,012","0,5676","0,110",,
3iodo-2tetrahydroacridindecoy10,87,"-10,6",0,1,86,1,"0,1114","0,0625",,"0,011","0,5611","0,111",,
4iodo-4tetrahydroacridindecoy26,88,"-10,6",0,1,87,1,"0,1127","0,0625",,"0,011","0,5547","0,113",,
4iodo-3tetrahydroacridindecoy25,89,"-10,5",0,1,88,1,"0,1140","0,0625",,"0,011","0,5484","0,114",,
4iodo-4tetrahydroacridindecoy33,90,"-10,5",0,1,89,1,"0,1152","0,0625",,"0,011","0,5423","0,115",,
Bis-tacrinedecoy14,91,"-10,5",0,1,90,1,"0,1165","0,0625",,"0,011","0,5364","0,117",,
Bis-tacrinedecoy28,92,"-10,5",0,1,91,1,"0,1178","0,0625",,"0,011","0,5306","0,118",,
3iodo-2tetrahydroacridindecoy46,93,"-10,5",0,1,92,1,"0,1191","0,0625",,"0,011","0,5249","0,119",,
2iodo-4tetrahydroacridindecoy28,94,"-10,5",0,1,93,1,"0,1204","0,0625",,"0,011","0,5193","0,120",,
Bis-tacrinedecoy26,95,"-10,5",0,1,94,1,"0,1216","0,0625",,"0,011","0,5138","0,122",,
2iodo-3tetrahydroacridindecoy30,96,"-10,5",0,1,95,1,"0,1229","0,0625",,"0,010","0,5085","0,123",,
2iodo-3tetrahydroacridindecoy29,97,"-10,5",0,1,96,1,"0,1242","0,0625",,"0,010","0,5032","0,124",,
4iodo-3tetrahydroacridindecoy6,98,"-10,5",0,1,97,1,"0,1255","0,0625",,"0,010","0,4981","0,125",,
Bis-tacrinedecoy39,99,"-10,5",0,1,98,1,"0,1268","0,0625",,"0,010","0,4930","0,127",,
4iodo-4tetrahydroacridindecoy41,100,"-10,5",0,1,99,1,"0,1280","0,0625",,"0,010","0,4881","0,128",,
Bis-tacrinedecoy49,101,"-10,4",0,1,100,1,"0,1293","0,0625",,"0,010","0,4833","0,129",,
Bis-tacrinedecoy2,102,"-10,4",0,1,101,1,"0,1306","0,0625",,"0,010","0,4785","0,131",,
3iodo-4tetrahydroacridindecoy39,103,"-10,4",0,1,102,1,"0,1319","0,0625",,"0,010","0,4739","0,132",,
4iodo-4tetrahydroacridindecoy17,104,"-10,4",0,1,103,1,"0,1332","0,0625",,"0,010","0,4693","0,133",,
4iodo-3tetrahydroacridindecoy42,105,"-10,4",0,1,104,1,"0,1344","0,0625",,"0,010","0,4649","0,134",,
2iodo-3tetrahydroacridindecoy8,106,"-10,4",0,1,105,1,"0,1357","0,0625",,"0,009","0,4605","0,136",,
3iodo-2tetrahydroacridindecoy13,107,"-10,4",0,1,106,1,"0,1370","0,0625",,"0,009","0,4562","0,137",,
2iodo-3tetrahydroacridindecoy27,108,"-10,4",0,1,107,1,"0,1383","0,0625",,"0,009","0,4520","0,138",,
4iodo-3tetrahydroacridindecoy1,109,"-10,4",0,1,108,1,"0,1396","0,0625",,"0,009","0,4478","0,140",,
2iodo-3tetrahydroacridindecoy15,110,"-10,4",0,1,109,1,"0,1408","0,0625",,"0,009","0,4437","0,141",,
2iodo-3tetrahydroacridindecoy5,111,"-10,4",0,1,110,1,"0,1421","0,0625",,"0,009","0,4397","0,142",,
4iodo-3tetrahydroacridindecoy34,112,"-10,4",0,1,111,1,"0,1434","0,0625",,"0,009","0,4358","0,143",,
4iodo-4tetrahydroacridindecoy13,113,"-10,4",0,1,112,1,"0,1447","0,0625",,"0,009","0,4320","0,145",,
2iodo-3tetrahydroacridindecoy12,114,"-10,4",0,1,113,1,"0,1460","0,0625",,"0,009","0,4282","0,146",,
2iodo-3tetrahydroacridindecoy19,115,"-10,4",0,1,114,1,"0,1472","0,0625",,"0,009","0,4244","0,147",,
Bis-tacrinedecoy1,116,"-10,4",0,1,115,1,"0,1485","0,0625",,"0,009","0,4208","0,149",,
3iodo-4tetrahydroacridindecoy38,117,"-10,4",0,1,116,1,"0,1498","0,0625",,"0,009","0,4172","0,150",,
2iodo-2tetrahydroacridindecoy14,118,"-10,4",0,1,117,1,"0,1511","0,0625",,"0,008","0,4137","0,151",,
3iodo-2tetrahydroacridindecoy33,119,"-10,3",0,1,118,1,"0,1524","0,0625",,"0,008","0,4102","0,152",,
2iodo-3tetrahydroacridindecoy47,120,"-10,3",0,1,119,1,"0,1536","0,0625",,"0,008","0,4068","0,154",,
4iodo-3tetrahydroacridindecoy33,121,"-10,3",0,1,120,1,"0,1549","0,0625",,"0,008","0,4034","0,155",,
4iodo-4tetrahydroacridindecoy40,122,"-10,3",0,1,121,1,"0,1562","0,0625",,"0,008","0,4001","0,156",,
2iodo-4tetrahydroacridindecoy36,123,"-10,3",0,1,122,1,"0,1575","0,0625",,"0,008","0,3968","0,157",,
Bis-tacrinedecoy21,124,"-10,3",0,1,123,1,"0,1588","0,0625",,"0,008","0,3936","0,159",,
2iodo-3tetrahydroacridindecoy33,125,"-10,3",0,1,124,1,"0,1601","0,0625",,"0,008","0,3905","0,160",,
4iodo-4tetrahydroacridindecoy1,126,"-10,3",0,1,125,1,"0,1613","0,0625",,"0,008","0,3874","0,161",,
2iodo-2tetrahydroacridindecoy16,127,"-10,3",0,1,126,1,"0,1626","0,0625",,"0,008","0,3843","0,163",,
4iodo-2tetrahydroacridindecoy31,128,"-10,3",0,1,127,1,"0,1639","0,0625",,"0,008","0,3813","0,164",,
2iodo-2tetrahydroacridindecoy23,129,"-10,3",0,1,128,1,"0,1652","0,0625",,"0,008","0,3784","0,165",,
3iodo-2tetrahydroacridindecoy41,130,"-10,3",0,1,129,1,"0,1665","0,0625",,"0,008","0,3755","0,166",,
3iodo-4tetrahydroacridindecoy26,131,"-10,3",0,1,130,1,"0,1677","0,0625",,"0,008","0,3726","0,168",,
3iodo-4tetrahydroacridindecoy5,132,"-10,2",0,1,131,1,"0,1690","0,0625",,"0,008","0,3698","0,169",,
Donepezildecoy11,133,"-10,2",0,1,132,1,"0,1703","0,0625",,"0,008","0,3670","0,170",,
3iodo-2tetrahydroacridindecoy15,134,"-10,2",0,1,133,1,"0,1716","0,0625",,"0,007","0,3643","0,172",,
4iodo-3tetrahydroacridindecoy23,135,"-10,2",0,1,134,1,"0,1729","0,0625",,"0,007","0,3616","0,173",,
2iodo-4tetrahydroacridindecoy32,136,"-10,2",0,1,135,1,"0,1741","0,0625",,"0,007","0,3589","0,174",,
4iodo-2tetrahydroacridindecoy37,137,"-10,2",0,1,136,1,"0,1754","0,0625",,"0,007","0,3563","0,175",,
2iodo-4tetrahydroacridindecoy48,138,"-10,2",0,1,137,1,"0,1767","0,0625",,"0,007","0,3537","0,177",,
4iodo-4tetrahydroacridindecoy14,139,"-10,2",0,1,138,1,"0,1780","0,0625",,"0,007","0,3512","0,178",,
4iodo-3tetrahydroacridindecoy41,140,"-10,2",0,1,139,1,"0,1793","0,0625",,"0,007","0,3487","0,179",,
2iodo-4tetrahydroacridindecoy9,141,"-10,2",0,1,140,1,"0,1805","0,0625",,"0,007","0,3462","0,181",,
2iodo-4tetrahydroacridindecoy2,142,"-10,2",0,1,141,1,"0,1818","0,0625",,"0,007","0,3437","0,182",,
4iodo-3tetrahydroacridindecoy26,143,"-10,2",0,1,142,1,"0,1831","0,0625",,"0,007","0,3413","0,183",,
3iodo-4tetrahydroacridindecoy12,144,"-10,2",0,1,143,1,"0,1844","0,0625",,"0,007","0,3390","0,184",,
2iodo-4tetrahydroacridindecoy21,145,"-10,2",0,1,144,1,"0,1857","0,0625",,"0,007","0,3366","0,186",,
3iodo-2tetrahydroacridindecoy48,146,"-10,2",0,1,145,1,"0,1869","0,0625",,"0,007","0,3343","0,187",,
Bis-tacrinedecoy34,147,"-10,2",0,1,146,1,"0,1882","0,0625",,"0,007","0,3321","0,188",,
2iodo-4tetrahydroacridin,153,"-10,2",1,0,146,2,"0,1959","0,1250",,"0,013","0,6381","0,196",,
2iodo-2tetrahydroacridindecoy37,148,"-10,2",0,1,147,2,"0,1895","0,1250",,"0,014","0,6596","0,190",,
4iodo-4tetrahydroacridindecoy15,149,"-10,2",0,1,148,2,"0,1908","0,1250",,"0,013","0,6552","0,191",,
3iodo-2tetrahydroacridindecoy21,150,"-10,2",0,1,149,2,"0,1921","0,1250",,"0,013","0,6508","0,192",,
2iodo-2tetrahydroacridindecoy34,151,"-10,2",0,1,150,2,"0,1933","0,1250",,"0,013","0,6465","0,193",,
3iodo-2tetrahydroacridindecoy19,152,"-10,2",0,1,151,2,"0,1946","0,1250",,"0,013","0,6423","0,195",,
2iodo-3tetrahydroacridindecoy45,154,"-10,1",0,1,152,2,"0,1972","0,1250",,"0,013","0,6339","0,197",,
3iodo-4tetrahydroacridindecoy30,155,"-10,1",0,1,153,2,"0,1985","0,1250",,"0,013","0,6298","0,198",,
2iodo-3tetrahydroacridindecoy23,156,"-10,1",0,1,154,2,"0,1997","0,1250",,"0,013","0,6258","0,200",,
2iodo-2tetrahydroacridindecoy29,157,"-10,1",0,1,155,2,"0,2010","0,1250",,"0,013","0,6218","0,201",,
4iodo-3tetrahydroacridindecoy7,158,"-10,1",0,1,156,2,"0,2023","0,1250",,"0,013","0,6179","0,202",,
4iodo-2tetrahydroacridindecoy9,159,"-10,1",0,1,157,2,"0,2036","0,1250",,"0,013","0,6140","0,204",,
2iodo-3tetrahydroacridindecoy6,160,"-10,1",0,1,158,2,"0,2049","0,1250",,"0,013","0,6101","0,205",,
4iodo-3tetrahydroacridindecoy49,161,"-10,1",0,1,159,2,"0,2061","0,1250",,"0,012","0,6064","0,206",,
2iodo-2tetrahydroacridindecoy27,162,"-10,1",0,1,160,2,"0,2074","0,1250",,"0,012","0,6026","0,207",,
2iodo-3tetrahydroacridindecoy2,163,"-10,1",0,1,161,2,"0,2087","0,1250",,"0,012","0,5989","0,209",,
4iodo-3tetrahydroacridindecoy24,164,"-10,1",0,1,162,2,"0,2100","0,1250",,"0,012","0,5953","0,210",,
2iodo-2tetrahydroacridindecoy7,165,"-10,1",0,1,163,2,"0,2113","0,1250",,"0,012","0,5917","0,211",,
2iodo-2tetrahydroacridindecoy13,166,"-10,1",0,1,164,2,"0,2125","0,1250",,"0,012","0,5881","0,213",,
3iodo-2tetrahydroacridindecoy7,167,"-10,1",0,1,165,2,"0,2138","0,1250",,"0,012","0,5846","0,214",,
3iodo-4tetrahydroacridindecoy37,168,"-10,1",0,1,166,2,"0,2151","0,1250",,"0,012","0,5811","0,215",,
Bis-tacrinedecoy19,169,"-10,1",0,1,167,2,"0,2164","0,1250",,"0,012","0,5777","0,216",,
Donepezildecoy28,170,"-10,1",0,1,168,2,"0,2177","0,1250",,"0,012","0,5743","0,218",,
2iodo-2tetrahydroacridindecoy24,171,"-10,1",0,1,169,2,"0,2190","0,1250",,"0,012","0,5709","0,219",,
2iodo-3tetrahydroacridindecoy38,172,"-10,1",0,1,170,2,"0,2202","0,1250",,"0,012","0,5676","0,220",,
3iodo-2tetrahydroacridindecoy26,173,"-10,1",0,1,171,2,"0,2215","0,1250",,"0,012","0,5643","0,222",,
4iodo-2tetrahydroacridindecoy21,174,"-10,1",0,1,172,2,"0,2228","0,1250",,"0,011","0,5611","0,223",,
Donepezildecoy29,175,"-10,1",0,1,173,2,"0,2241","0,1250",,"0,011","0,5578","0,224",,
2iodo-3tetrahydroacridindecoy9,176,"-10,1",0,1,174,2,"0,2254","0,1250",,"0,011","0,5547","0,225",,
2iodo-4tetrahydroacridindecoy44,177,"-10,1",0,1,175,2,"0,2266","0,1250",,"0,011","0,5515","0,227",,
2iodo-3tetrahydroacridin,178,"-10,0",1,0,175,3,"0,2279","0,1875",,"0,017","0,8227","0,228",,
4iodo-4tetrahydroacridindecoy23,179,"-10,0",0,1,176,3,"0,2292","0,1875",,"0,017","0,8181","0,229",,
4iodo-4tetrahydroacridindecoy11,180,"-10,0",0,1,177,3,"0,2305","0,1875",,"0,017","0,8135","0,230",,
4iodo-3tetrahydroacridindecoy22,181,"-10,0",0,1,178,3,"0,2318","0,1875",,"0,017","0,8090","0,232",,
2iodo-2tetrahydroacridindecoy8,182,"-10,0",0,1,179,3,"0,2330","0,1875",,"0,016","0,8046","0,233",,
2iodo-4tetrahydroacridindecoy18,183,"-10,0",0,1,180,3,"0,2343","0,1875",,"0,016","0,8002","0,234",,
Heptyl-physostigminedecoy36,184,"-10,0",0,1,181,3,"0,2356","0,1875",,"0,016","0,7958","0,236",,
2iodo-2tetrahydroacridindecoy12,185,"-10,0",0,1,182,3,"0,2369","0,1875",,"0,016","0,7915","0,237",,
2iodo-3tetrahydroacridindecoy3,186,"-10,0",0,1,183,3,"0,2382","0,1875",,"0,016","0,7873","0,238",,
2iodo-2tetrahydroacridindecoy21,187,"-10,0",0,1,184,3,"0,2394","0,1875",,"0,016","0,7831","0,239",,
4iodo-3tetrahydroacridindecoy37,188,"-10,0",0,1,185,3,"0,2407","0,1875",,"0,016","0,7789","0,241",,
4iodo-2tetrahydroacridindecoy3,189,"-10,0",0,1,186,3,"0,2420","0,1875",,"0,016","0,7748","0,242",,
4iodo-2tetrahydroacridindecoy19,190,"-10,0",0,1,187,3,"0,2433","0,1875",,"0,016","0,7707","0,243",,
3iodo-2tetrahydroacridindecoy22,191,"-10,0",0,1,188,3,"0,2446","0,1875",,"0,016","0,7667","0,245",,
4iodo-2tetrahydroacridindecoy38,192,"-10,0",0,1,189,3,"0,2458","0,1875",,"0,016","0,7627","0,246",,
4iodo-3tetrahydroacridindecoy19,193,"-10,0",0,1,190,3,"0,2471","0,1875",,"0,016","0,7587","0,247",,
Bis-tacrinedecoy42,194,"-10,0",0,1,191,3,"0,2484","0,1875",,"0,015","0,7548","0,248",,
2iodo-4tetrahydroacridindecoy38,195,"-10,0",0,1,192,3,"0,2497","0,1875",,"0,015","0,7509","0,250",,
Tolserinedecoy36,196,"-10,0",0,1,193,3,"0,2510","0,1875",,"0,015","0,7471","0,251",,
3iodo-4tetrahydroacridindecoy17,197,"-10,0",0,1,194,3,"0,2522","0,1875",,"0,015","0,7433","0,252",,
2iodo-3tetrahydroacridindecoy28,198,"-10,0",0,1,195,3,"0,2535","0,1875",,"0,015","0,7396","0,254",,
4iodo-4tetrahydroacridindecoy36,199,"-10,0",0,1,196,3,"0,2548","0,1875",,"0,015","0,7359","0,255",,
3iodo-2tetrahydroacridindecoy8,200,"-10,0",0,1,197,3,"0,2561","0,1875",,"0,015","0,7322","0,256",,
3iodo-4tetrahydroacridindecoy50,201,"-10,0",0,1,198,3,"0,2574","0,1875",,"0,015","0,7285","0,257",,
4iodo-4tetrahydroacridindecoy37,202,"-10,0",0,1,199,3,"0,2586","0,1875",,"0,015","0,7249","0,259",,
4iodo-4tetrahydroacridin,207,"-10,0",1,0,199,4,"0,2650","0,2500",,"0,019","0,9432","0,265",,
2iodo-4tetrahydroacridindecoy8,203,"-10,0",0,1,200,4,"0,2599","0,2500",,"0,020","0,9618","0,260",,
4iodo-3tetrahydroacridindecoy15,204,"-10,0",0,1,201,4,"0,2612","0,2500",,"0,020","0,9571","0,261",,
4iodo-4tetrahydroacridindecoy35,205,"-10,0",0,1,202,4,"0,2625","0,2500",,"0,020","0,9524","0,262",,
2iodo-2tetrahydroacridindecoy11,206,"-10,0",0,1,203,4,"0,2638","0,2500",,"0,019","0,9478","0,264",,
3iodo-2tetrahydroacridindecoy16,208,"-9,9",0,1,204,4,"0,2663","0,2500",,"0,019","0,9387","0,266",,
4iodo-3tetrahydroacridindecoy5,209,"-9,9",0,1,205,4,"0,2676","0,2500",,"0,019","0,9342","0,268",,
3iodo-4tetrahydroacridindecoy32,210,"-9,9",0,1,206,4,"0,2689","0,2500",,"0,019","0,9297","0,269",,
Heptyl-physostigminedecoy3,211,"-9,9",0,1,207,4,"0,2702","0,2500",,"0,019","0,9253","0,270",,
2iodo-4tetrahydroacridindecoy17,212,"-9,9",0,1,208,4,"0,2714","0,2500",,"0,019","0,9210","0,271",,
2iodo-3tetrahydroacridindecoy42,213,"-9,9",0,1,209,4,"0,2727","0,2500",,"0,019","0,9166","0,273",,
2iodo-3tetrahydroacridindecoy41,214,"-9,9",0,1,210,4,"0,2740","0,2500",,"0,019","0,9124","0,274",,
2iodo-3tetrahydroacridindecoy4,215,"-9,9",0,1,211,4,"0,2753","0,2500",,"0,019","0,9081","0,275",,
Tolserinedecoy12,216,"-9,9",0,1,212,4,"0,2766","0,2500",,"0,019","0,9039","0,277",,
4iodo-2tetrahydroacridindecoy35,217,"-9,9",0,1,213,4,"0,2778","0,2500",,"0,018","0,8998","0,278",,
3iodo-2tetrahydroacridindecoy42,218,"-9,9",0,1,214,4,"0,2791","0,2500",,"0,018","0,8956","0,279",,
