Ligante,Molecular Weight,Net Charge,Net Charge Module,Dipole Moment,Molar Refractivity,Molar Volume,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,RDBE,miLogP,tPSA,natoms,Donors,Acceptors,nviolations,Rotatable Bonds,LogP,Length,Max Length,Extensibility
ZINC14588411,152.23,0.000000,0.0000000,1.648,46.87,164.2,384.7,1.482,30,0.92,18.58,3,2.48,20,11,1,1,0,1,2.280,8.336,8.402,0.066
ZINC143826668,164.29,0.000000,0.0000000,0.085,53.27,189.9,425.6,1.472,25.2,0.864,21.12,3,4.22,0,12,0,0,0,0,3.779,8.199,8.24,0.041
ZINC141880133,154.25,0.000000,0.0000000,1.634,47.34,167.2,397.7,1.477,31.9,0.922,18.76,2,2.04,20.23,11,1,1,0,1,2.360,7.81,8.468,0.658
ZINC139054025,224.34,0.000000,0.0000000,2.973,68.24,221.4,542,1.492,35.9,1.013,25.48,3,2.39,37.3,16,1,2,0,1,2.789,9.553,9.553,0.000
ZINC13373002,220.36,-0.050000,0.0500000,1.794,66.37,215.6,529.1,1.527,36.2,1.02,26.31,4,3.91,20.23,16,1,1,0,0,3.386,7.789,8.454,0.665
ZINC1063075,152.23,-0.010000,0.0100000,3.405,46.2,173.2,387.9,1.445,25.1,0.878,18.31,3,3.13,17,11,0,1,0,2,2.568,7.765,7.765,0.000
ZINC1063075,152.23,-0.010000,0.0100000,3.729,46.2,173.2,387.9,1.445,25.1,0.878,18.31,3,3.13,17,11,0,1,0,2,2.568,8.011,8.011,0.000
ZINC104883029,222.37,0.000000,0.0000000,1.829,68.54,233.5,560.8,1.498,33.2,0.952,27.17,3,4.97,20.23,16,1,1,0,1,3.776,8.458,8.496,0.038
ZINC104876494,204.36,0.010000,0.0100000,0.963,66.33,228.5,531.2,1.492,29.2,0.89,26.29,4,5.07,0,15,0,0,1,1,4.725,8.891,8.891,0.000
ZINC100780735,204.36,-0.010000,0.0100000,0.261,64.79,214.7,510.9,1.515,32,0.95,25.68,4,4.53,0,15,0,0,0,0,4.559,8.468,8.468,0.000
ZINC100191743 ,136.23,0.000000,0.0000000,0.347,43.76,153,349,1.483,27,0.88,17.34,3,3.33,0,10,0,0,0,0,2.999,6.579,6.579,0.000
ZINC100086523,204.36,0.000000,0.0000000,0.429,66.71,237.1,531.7,1.474,25.2,0.861,26.44,4,5.29,0.00,15,0,0,1,0,4.725,8.493,8.88,0.387
