categoria,rank_medio
0.61a0.65,516
0.61a0.65,433.33
0.61a0.65,90.00
0.61a0.65,179.00
0.61a0.65,115.50
0.61a0.65,68.00
0.61a0.65,23.50
0.61a0.65,214.80
0.61a0.65,233.50
0.61a0.65,79.00
0.61a0.65,132.50
0.61a0.65,253.40
0.61a0.65,182.50
0.61a0.65,419.75
0.61a0.65,195.80
0.61a0.65,245.60
0.61a0.65,196.00
0.61a0.65,122.50
0.61a0.65,366.50
0.61a0.65,323.00
0.61a0.65,115.50
0.61a0.65,190.00
0.61a0.65,140.50
0.61a0.65,85.75
0.61a0.65,187
0.61a0.65,283.00
0.61a0.65,234.00
0.61a0.65,248.50
0.61a0.65,102.00
0.61a0.65,90.50
0.61a0.65,271.00
0.61a0.65,282.50
0.61a0.65,204.50
0.61a0.65,325.00
0.61a0.65,331
0.61a0.65,217.67
0.61a0.65,127.50
0.61a0.65,206.00
0.61a0.65,393.00
0.61a0.65,126.00
0.61a0.65,33.00
0.61a0.65,240.80
0.61a0.65,209.00
0.61a0.65,441.75
0.61a0.65,261.00
0.61a0.65,31.00
0.61a0.65,199.00
0.61a0.65,236.33
0.61a0.65,294
0.61a0.65,179.60
0.61a0.65,86.00
0.61a0.65,288.20
0.61a0.65,251.80
0.61a0.65,228.67
0.61a0.65,228.00
0.61a0.65,450.25
0.61a0.65,422
0.61a0.65,125.25
0.61a0.65,155.67
0.61a0.65,248
0.61a0.65,433.25
0.61a0.65,56.50
0.61a0.65,215.25
0.66a0.70,448
0.66a0.70,76.75
0.66a0.70,378.00
0.66a0.70,228.67
0.66a0.70,270.60
0.66a0.70,126.00
0.66a0.70,211.00
0.66a0.70,411.00
0.66a0.70,192.80
0.66a0.70,276.40
0.66a0.70,190.20
0.66a0.70,255.20
0.66a0.70,280.00
0.66a0.70,61.75
0.66a0.70,197.50
0.66a0.70,225.50
0.66a0.70,212.00
0.66a0.70,346.00
0.66a0.70,65.25
0.66a0.70,170.00
0.66a0.70,122.25
0.66a0.70,280
0.66a0.70,215.50
0.66a0.70,292.60
0.66a0.70,244.00
0.66a0.70,148.33
0.66a0.70,185.50
0.66a0.70,234.60
0.66a0.70,423
0.66a0.70,252
0.66a0.70,176.60
0.66a0.70,129.00
0.66a0.70,548
0.66a0.70,99.00
0.66a0.70,248.00
0.66a0.70,158.33
0.66a0.70,282
0.66a0.70,382.00
0.66a0.70,297.33
0.66a0.70,238.50
0.66a0.70,114.67
0.66a0.70,257.00
0.66a0.70,383.00
0.66a0.70,123.50
0.66a0.70,295
0.66a0.70,330
0.66a0.70,263.00
0.66a0.70,251
0.66a0.70,307.00
0.66a0.70,219.33
0.66a0.70,262
0.66a0.70,169.00
0.66a0.70,402.00
0.66a0.70,242.50
0.66a0.70,107
0.66a0.70,335
0.66a0.70,333
0.66a0.70,301
0.66a0.70,285
0.66a0.70,174.33
0.66a0.70,132.00
0.66a0.70,268.50
0.66a0.70,109.67
0.66a0.70,276
0.66a0.70,217.00
0.66a0.70,173
0.66a0.70,274
0.66a0.70,174.50
0.66a0.70,484
0.66a0.70,83
0.66a0.70,327
0.66a0.70,328
0.66a0.70,242.50
0.66a0.70,305
0.66a0.70,160
0.66a0.70,256
0.66a0.70,438.50
0.66a0.70,246
0.66a0.70,485
0.71a0.81,325
0.71a0.81,203
0.71a0.81,376.75
0.71a0.81,81
0.71a0.81,509
0.71a0.81,291.50
0.71a0.81,386.25
0.71a0.81,211.00
0.71a0.81,540
0.71a0.81,379.50
0.71a0.81,288
0.71a0.81,411.00
0.71a0.81,517
0.71a0.81,520
0.71a0.81,492
0.71a0.81,511
0.71a0.81,479
0.71a0.81,499
0.71a0.81,469
0.71a0.81,471
0.71a0.81,500
0.71a0.81,491
0.71a0.81,365
