categoria,rank_medio
0.00a0.10,298.00
0.00a0.10,86.00
0.00a0.10,144.00
0.00a0.10,406.00
0.00a0.10,169.20
0.00a0.10,212.00
0.00a0.10,126.00
0.00a0.10,432.00
0.00a0.10,479.00
0.00a0.10,273.00
0.00a0.10,401.00
0.00a0.10,106.00
0.00a0.10,187.00
0.00a0.10,392.50
0.00a0.10,244.00
0.00a0.10,437.25
0.00a0.10,182.50
0.00a0.10,238.50
0.00a0.10,65.25
0.00a0.10,419.75
0.00a0.10,414.00
0.00a0.10,153.00
0.00a0.10,508.00
0.00a0.10,273.00
0.00a0.10,259.50
0.00a0.10,232.00
0.00a0.10,477.50
0.00a0.10,420.00
0.00a0.10,250.00
0.00a0.10,441.00
0.00a0.10,331.00
0.00a0.10,171.00
0.00a0.10,359.00
0.00a0.10,192.00
0.00a0.10,196.50
0.00a0.10,351.00
0.00a0.10,429.25
0.00a0.10,348.00
0.00a0.10,457.00
0.00a0.10,233.50
0.00a0.10,441.75
0.00a0.10,252.00
0.00a0.10,262.00
0.00a0.10,393.00
0.00a0.10,248.00
0.00a0.10,473.60
0.00a0.10,297.00
0.00a0.10,234.60
0.00a0.10,357.00
0.00a0.10,522.00
0.00a0.10,432.33
0.00a0.10,247.00
0.00a0.10,243.00
0.00a0.10,427.00
0.00a0.10,263.00
0.00a0.10,335.00
0.00a0.10,188.00
0.00a0.10,196.00
0.00a0.10,132.00
0.00a0.10,178.50
0.00a0.10,321.00
0.00a0.10,294.00
0.00a0.10,402.00
0.00a0.10,281.00
0.00a0.10,230.00
0.00a0.10,266.00
0.00a0.10,381.00
0.00a0.10,431.00
0.00a0.10,108.00
0.00a0.10,199.00
0.00a0.10,73.50
0.00a0.10,268.20
0.00a0.10,406.00
0.00a0.10,217.67
0.00a0.10,151.50
0.00a0.10,84.50
0.00a0.10,216.00
0.00a0.10,492.00
0.00a0.10,115.50
0.00a0.10,479.00
0.00a0.10,338.00
0.00a0.10,127.50
0.00a0.10,495.50
0.00a0.10,527.00
0.00a0.10,498.00
0.00a0.10,451.00
0.00a0.10,441.00
0.00a0.10,245.60
0.00a0.10,208.50
0.00a0.10,557.00
0.00a0.10,542.50
0.00a0.10,131.50
0.00a0.10,207.00
0.00a0.10,86.00
0.00a0.10,77.00
0.00a0.10,79.50
0.00a0.10,342.00
