categoria,rank_medio
0.000a0.020,298.00
0.000a0.020,86.00
0.000a0.020,169.20
0.000a0.020,144.00
0.000a0.020,406.00
0.000a0.020,212.00
0.000a0.020,126.00
0.000a0.020,432.00
0.000a0.020,401.00
0.000a0.020,106.00
0.000a0.020,244.00
0.000a0.020,392.50
0.000a0.020,479.00
0.000a0.020,182.50
0.000a0.020,238.50
0.000a0.020,437.25
0.000a0.020,273.00
0.000a0.020,419.75
0.000a0.020,65.25
0.000a0.020,187.00
0.000a0.020,414.00
0.000a0.020,153.00
0.000a0.020,259.50
0.000a0.020,508.00
0.000a0.020,171.00
0.000a0.020,232.00
0.000a0.020,359.00
0.000a0.020,477.50
0.000a0.020,233.50
0.000a0.020,420.00
0.000a0.020,273.00
0.000a0.020,250.00
0.000a0.020,429.25
0.000a0.020,441.75
0.000a0.020,192.00
0.000a0.020,393.00
0.000a0.020,348.00
0.000a0.020,234.60
0.000a0.020,331.00
0.000a0.020,441.00
0.000a0.020,473.60
0.000a0.020,351.00
0.000a0.020,262.00
0.000a0.020,432.33
0.000a0.020,132.00
0.000a0.020,252.00
0.000a0.020,457.00
0.000a0.020,196.50
0.000a0.020,335.00
0.000a0.020,196.00
0.000a0.020,188.00
0.000a0.020,427.00
0.000a0.020,247.00
0.000a0.020,357.00
0.000a0.020,243.00
0.000a0.020,248.00
0.000a0.020,263.00
0.000a0.020,230.00
0.000a0.020,402.00
0.000a0.020,294.00
0.000a0.020,281.00
0.000a0.020,217.67
0.000a0.020,421.00
0.000a0.020,228.67
0.000a0.020,266.00
0.000a0.020,522.00
0.000a0.020,268.20
0.000a0.020,84.50
0.000a0.020,108.00
0.000a0.020,321.00
0.000a0.020,199.00
0.000a0.020,73.50
0.000a0.020,297.00
0.000a0.020,216.00
0.000a0.020,151.50
0.000a0.020,381.00
0.000a0.020,178.50
0.000a0.020,115.50
0.000a0.020,207.00
0.000a0.020,245.60
0.000a0.020,430.20
0.000a0.020,144.67
0.000a0.020,68.00
0.000a0.020,446.67
0.000a0.020,127.50
0.000a0.020,337.80
0.000a0.020,172.50
0.000a0.020,466.50
0.000a0.020,86.00
0.000a0.020,208.50
0.000a0.020,431.00
0.000a0.020,79.50
0.000a0.020,276.40
0.000a0.020,263.00
0.000a0.020,370.00
0.000a0.020,131.50
0.000a0.020,113.50
0.000a0.020,31.00
0.000a0.020,274.50
0.000a0.020,527.00
0.000a0.020,423.00
0.000a0.020,189.20
0.000a0.020,77.00
0.000a0.020,456.00
0.000a0.020,142.50
0.000a0.020,33.00
0.000a0.020,215.50
0.000a0.020,102.00
0.000a0.020,406.00
0.000a0.020,524.00
0.000a0.020,240.80
0.000a0.020,389.50
0.000a0.020,451.00
0.000a0.020,63.50
0.000a0.020,492.00
0.000a0.020,338.00
0.000a0.020,176.60
0.000a0.020,479.00
0.000a0.020,495.50
0.000a0.020,150.00
0.000a0.020,115.50
0.000a0.020,335.00
0.000a0.020,112.00
0.000a0.020,204.00
0.000a0.020,441.00
0.000a0.020,522.00
0.000a0.020,13.00
0.000a0.020,282.00
0.000a0.020,498.00
0.000a0.020,227.50
0.000a0.020,115.50
0.000a0.020,242.50
0.000a0.020,557.00
0.000a0.020,199.25
0.000a0.020,542.50
0.000a0.020,323.00
0.000a0.020,366.50
0.000a0.020,433.33
0.000a0.020,196.00
0.000a0.020,389.00
0.000a0.020,473.00
0.000a0.020,251.80
0.000a0.020,458.00
0.000a0.020,325.00
0.000a0.020,109.67
0.000a0.020,55.50
0.000a0.020,238.50
0.000a0.020,324.50
0.000a0.020,99.00
0.000a0.020,499.00
0.000a0.020,470.50
0.000a0.020,267.00
0.000a0.020,168.50
0.000a0.020,342.00
0.000a0.020,135.50
0.000a0.020,305.00
0.000a0.020,417.33
0.000a0.020,115.50
0.000a0.020,132.50
0.000a0.020,90.50
0.000a0.020,297.00
0.000a0.020,375.60
0.021a0.040,318.67
0.021a0.040,434.80
0.021a0.040,515.00
0.021a0.040,213.75
0.021a0.040,258.60
0.021a0.040,209.75
0.021a0.040,530.00
0.021a0.040,234.50
0.021a0.040,496.50
0.021a0.040,496.00
0.021a0.040,442.00
0.021a0.040,430.00
0.021a0.040,416.00
0.021a0.040,477.20
0.021a0.040,419.67
0.021a0.040,350.50
0.021a0.040,278.00
0.021a0.040,560.00
0.021a0.040,288.20
0.021a0.040,123.50
0.021a0.040,201.00
0.021a0.040,236.33
0.021a0.040,543.00
0.021a0.040,197.50
0.021a0.040,237.50
0.021a0.040,257.00
0.021a0.040,270.60
0.021a0.040,410.00
0.021a0.040,248.50
0.021a0.040,442.00
0.021a0.040,398.00
0.021a0.040,436.50
0.021a0.040,371.00
0.021a0.040,346.00
0.021a0.040,288.00
0.021a0.040,559.00
0.021a0.040,548.33
0.021a0.040,378.00
0.021a0.040,525.00
0.021a0.040,506.50
0.021a0.040,234.00
0.021a0.040,85.75
0.021a0.040,563.00
0.021a0.040,469.60
0.021a0.040,224.50
0.021a0.040,190.50
0.021a0.040,499.00
0.021a0.040,76.75
0.021a0.040,326.00
0.021a0.040,439.20
0.021a0.040,135.50
0.021a0.040,474.50
0.021a0.040,230.50
0.021a0.040,422.00
0.021a0.040,311.00
0.021a0.040,456.00
0.021a0.040,248.00
0.021a0.040,199.00
0.021a0.040,435.20
0.021a0.040,414.50
0.021a0.040,564.00
0.021a0.040,422.50
0.021a0.040,399.00
0.021a0.040,523.00
0.021a0.040,271.00
0.021a0.040,261.00
0.021a0.040,424.00
0.021a0.040,121.50
0.021a0.040,183.50
0.021a0.040,285.00
0.021a0.040,498.50
0.021a0.040,283.00
0.021a0.040,481.20
0.021a0.040,382.00
0.021a0.040,456.20
0.021a0.040,170.00
0.021a0.040,474.50
0.021a0.040,515.25
0.021a0.040,490.33
0.021a0.040,460.80
0.021a0.040,552.00
0.021a0.040,211.00
0.021a0.040,377.20
0.021a0.040,436.00
0.021a0.040,190.00
0.021a0.040,561.00
0.021a0.040,509.67
0.021a0.040,542.60
0.021a0.040,344.50
0.021a0.040,563.67
0.021a0.040,218.50
0.021a0.040,515.40
0.021a0.040,433.25
0.021a0.040,399.20
0.021a0.040,212.00
0.021a0.040,479.50
0.021a0.040,490.50
0.021a0.040,192.80
0.041a0.060,169.00
0.041a0.060,219.33
0.041a0.060,292.60
0.041a0.060,538.80
0.041a0.060,557.00
0.041a0.060,354.00
0.041a0.060,190.20
0.041a0.060,488.00
0.041a0.060,297.33
0.041a0.060,274.00
0.041a0.060,479.50
0.041a0.060,402.00
0.041a0.060,225.50
0.041a0.060,244.00
0.041a0.060,306.00
0.041a0.060,205.00
0.041a0.060,420.50
0.041a0.060,450.00
0.041a0.060,434.00
0.041a0.060,459.50
0.041a0.060,122.25
0.041a0.060,528.33
0.041a0.060,148.33
0.041a0.060,536.00
0.041a0.060,174.33
0.041a0.060,561.20
0.041a0.060,240.80
0.041a0.060,49.50
0.041a0.060,516.00
0.041a0.060,445.25
0.041a0.060,133.00
0.041a0.060,218.50
0.041a0.060,563.80
0.041a0.060,554.00
0.041a0.060,155.67
0.041a0.060,513.50
0.041a0.060,221.50
0.041a0.060,473.00
0.041a0.060,251.75
0.041a0.060,214.80
0.041a0.060,383.00
0.041a0.060,562.50
0.041a0.060,259.67
0.041a0.060,179.00
0.041a0.060,537.25
0.041a0.060,313.50
0.041a0.060,564.00
0.041a0.060,326.00
0.041a0.060,473.50
0.041a0.060,428.25
0.041a0.060,146.00
0.041a0.060,195.80
0.041a0.060,450.25
0.061a0.080,337.50
0.061a0.080,222.20
0.061a0.080,536.50
